時間,國內/國外,進港/出港,臺灣港口,國籍,重量(公噸)
096年04月,國外,出港,基隆港,義大利,10
096年04月,國外,出港,基隆港,日本,473
096年04月,國外,出港,基隆港,高棉,0
096年04月,國外,出港,基隆港,北韓,0
096年04月,國外,出港,基隆港,韓國,16347
096年04月,國外,出港,基隆港,賴比瑞亞,133333
096年04月,國外,出港,基隆港,馬紹爾群島,44491
096年04月,國外,出港,基隆港,蒙古,0
096年04月,國外,出港,基隆港,馬爾他,924
096年04月,國外,出港,基隆港,馬來西亞,0
096年04月,國外,出港,基隆港,挪威,2651
096年04月,國外,出港,基隆港,巴拿馬,120786
096年04月,國外,出港,基隆港,菲律賓,0
096年04月,國外,出港,基隆港,新加坡,129905
096年04月,國外,出港,基隆港,泰國,4614
096年04月,國外,出港,基隆港,吐瓦魯,6235
096年04月,國內,出港,基隆港,台灣，中華民國,93634
096年04月,國外,出港,基隆港,聖文森,13006
096年04月,國外,出港,基隆港,越南,0
096年04月,國外,出港,基隆港,萬那杜,137
096年05月,國外,進港,基隆港,安地卡及巴布達,21298
096年05月,國外,進港,基隆港,荷屬安地列斯,397
096年05月,國外,進港,基隆港,巴哈馬,11014
096年05月,國外,進港,基隆港,貝里斯,9818
096年05月,國外,進港,基隆港,賽普勒斯,11769
096年05月,國外,進港,基隆港,德國,10437
096年05月,國外,進港,基隆港,丹麥,149
096年05月,國外,進港,基隆港,英國,6512
096年05月,國外,進港,基隆港,希臘,570
096年05月,國外,進港,基隆港,香港,132625
096年05月,國外,進港,基隆港,以色列,7553
096年05月,國外,進港,基隆港,義大利,3238
096年05月,國外,進港,基隆港,日本,193
096年05月,國外,進港,基隆港,高棉,15035
096年05月,國外,進港,基隆港,北韓,14637
096年05月,國外,進港,基隆港,韓國,38662
096年05月,國外,進港,基隆港,開曼群島,48
096年05月,國外,進港,基隆港,賴比瑞亞,140137
096年05月,國外,進港,基隆港,馬紹爾群島,25908
096年05月,國外,進港,基隆港,蒙古,2959
096年05月,國外,進港,基隆港,馬爾他,3724
096年05月,國外,進港,基隆港,荷蘭,9
096年05月,國外,進港,基隆港,挪威,215
096年05月,國外,進港,基隆港,巴拿馬,454971
096年05月,國外,進港,基隆港,菲律賓,11
096年05月,國外,進港,基隆港,新加坡,114070
096年05月,國外,進港,基隆港,泰國,11344
096年05月,國外,進港,基隆港,吐瓦魯,11885
096年05月,國內,進港,基隆港,台灣，中華民國,814207
096年05月,國外,進港,基隆港,聖文森,60863
096年05月,國外,進港,基隆港,越南,8988
096年05月,國外,進港,基隆港,萬那杜,1869
096年05月,國外,出港,基隆港,安地卡及巴布達,32496
096年05月,國外,出港,基隆港,荷屬安地列斯,4662
096年05月,國外,出港,基隆港,巴哈馬,9012
096年05月,國外,出港,基隆港,貝里斯,0
096年05月,國外,出港,基隆港,賽普勒斯,12451
096年05月,國外,出港,基隆港,德國,6396
096年05月,國外,出港,基隆港,丹麥,0
096年05月,國外,出港,基隆港,英國,6309
096年05月,國外,出港,基隆港,希臘,143
096年05月,國外,出港,基隆港,香港,52838
096年05月,國外,出港,基隆港,以色列,5350
096年05月,國外,出港,基隆港,義大利,4956
096年05月,國外,出港,基隆港,日本,414
096年05月,國外,出港,基隆港,高棉,387
096年05月,國外,出港,基隆港,北韓,0
096年05月,國外,出港,基隆港,韓國,16611
096年05月,國外,出港,基隆港,開曼群島,0
096年05月,國外,出港,基隆港,賴比瑞亞,134551
096年05月,國外,出港,基隆港,馬紹爾群島,33886
096年05月,國外,出港,基隆港,蒙古,147
096年05月,國外,出港,基隆港,馬爾他,3488
096年05月,國外,出港,基隆港,荷蘭,1797
096年05月,國外,出港,基隆港,挪威,21
096年05月,國外,出港,基隆港,巴拿馬,147898
096年05月,國外,出港,基隆港,菲律賓,0
096年05月,國外,出港,基隆港,新加坡,114349
096年05月,國外,出港,基隆港,泰國,5173
096年05月,國外,出港,基隆港,吐瓦魯,6066
096年05月,國內,出港,基隆港,台灣，中華民國,80932
096年05月,國外,出港,基隆港,聖文森,15966
096年05月,國外,出港,基隆港,越南,0
096年05月,國外,出港,基隆港,萬那杜,2112
096年06月,國外,進港,基隆港,安地卡及巴布達,16564
096年06月,國外,進港,基隆港,荷屬安地列斯,329
096年06月,國外,進港,基隆港,巴哈馬,59156
096年06月,國外,進港,基隆港,貝里斯,6965
096年06月,國外,進港,基隆港,賽普勒斯,11728
096年06月,國外,進港,基隆港,德國,4491
096年06月,國外,進港,基隆港,英國,12852
096年06月,國外,進港,基隆港,希臘,5159
096年06月,國外,進港,基隆港,香港,108720
096年06月,國外,進港,基隆港,印尼,44827
096年06月,國外,進港,基隆港,以色列,9769
096年06月,國外,進港,基隆港,義大利,26
096年06月,國外,進港,基隆港,日本,354
096年06月,國外,進港,基隆港,高棉,7216
096年06月,國外,進港,基隆港,北韓,9099
096年06月,國外,進港,基隆港,韓國,43401
096年06月,國外,進港,基隆港,賴比瑞亞,124525
096年06月,國外,進港,基隆港,馬紹爾群島,19194
096年06月,國外,進港,基隆港,馬爾他,32493
096年06月,國外,進港,基隆港,馬來西亞,10290
096年06月,國外,進港,基隆港,荷蘭,369
096年06月,國外,進港,基隆港,巴拿馬,528539
096年06月,國外,進港,基隆港,新加坡,112284
096年06月,國外,進港,基隆港,泰國,10037
096年06月,國外,進港,基隆港,土耳其,0
096年06月,國外,進港,基隆港,吐瓦魯,4323
096年06月,國內,進港,基隆港,台灣，中華民國,588518
096年06月,國外,進港,基隆港,聖文森,25740
096年06月,國外,進港,基隆港,越南,259
096年06月,國外,進港,基隆港,萬那杜,0
096年06月,國外,出港,基隆港,安地卡及巴布達,29220
096年06月,國外,出港,基隆港,荷屬安地列斯,4180
096年06月,國外,出港,基隆港,巴哈馬,5401
096年06月,國外,出港,基隆港,貝里斯,162
096年06月,國外,出港,基隆港,賽普勒斯,9494
096年06月,國外,出港,基隆港,德國,5976
096年06月,國外,出港,基隆港,英國,9237
096年06月,國外,出港,基隆港,希臘,2288
096年06月,國外,出港,基隆港,香港,51524
096年06月,國外,出港,基隆港,印尼,0
096年06月,國外,出港,基隆港,以色列,5075
096年06月,國外,出港,基隆港,義大利,17
096年06月,國外,出港,基隆港,日本,528
096年06月,國外,出港,基隆港,高棉,0
096年06月,國外,出港,基隆港,北韓,0
096年06月,國外,出港,基隆港,韓國,23204
096年06月,國外,出港,基隆港,賴比瑞亞,120960
096年06月,國外,出港,基隆港,馬紹爾群島,22211
096年06月,國外,出港,基隆港,馬爾他,3652
096年06月,國外,出港,基隆港,馬來西亞,0
096年06月,國外,出港,基隆港,荷蘭,3128
096年06月,國外,出港,基隆港,巴拿馬,155544
096年06月,國外,出港,基隆港,新加坡,117164
096年06月,國外,出港,基隆港,泰國,4647
096年06月,國外,出港,基隆港,土耳其,110
096年06月,國外,出港,基隆港,吐瓦魯,3594
096年06月,國內,出港,基隆港,台灣，中華民國,74239
096年06月,國外,出港,基隆港,聖文森,20895
096年06月,國外,出港,基隆港,越南,0
096年06月,國外,出港,基隆港,萬那杜,28
096年07月,國外,進港,基隆港,安地卡及巴布達,26425
096年07月,國外,進港,基隆港,荷屬安地列斯,425
096年07月,國外,進港,基隆港,巴哈馬,10263
096年07月,國外,進港,基隆港,貝里斯,21478
096年07月,國外,進港,基隆港,賽普勒斯,12228
096年07月,國外,進港,基隆港,德國,6739
096年07月,國外,進港,基隆港,丹麥,12
096年07月,國外,進港,基隆港,英國,11433
096年07月,國外,進港,基隆港,希臘,47751
096年07月,國外,進港,基隆港,香港,107257
096年07月,國外,進港,基隆港,以色列,7122
096年07月,國外,進港,基隆港,義大利,1880
