時間,進港/出港,臺灣港口,貨物別,地區別,重量(公噸)
102年06月,進港,高雄港,礦產品,花蓮港,107913
102年06月,出港,高雄港,礦產品,花蓮港,28100
102年06月,出港,高雄港,礦產品,蘇澳港,7000
102年06月,出港,高雄港,礦產品,臺北港,14000
102年06月,出港,高雄港,礦產品,馬公港,10684
102年06月,出港,高雄港,礦產品,深澳港,22000
102年06月,進港,高雄港,礦產品,麥寮港,6700
102年06月,出港,高雄港,礦產品,麥寮港,6000
102年06月,出港,高雄港,礦產品,小琉球,1092
102年06月,出港,高雄港,礦產品,環島其他,5000
102年06月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1714
102年06月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,9049
102年06月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,3569
102年06月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,10462
102年06月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,58
102年06月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,21
102年06月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,120
102年07月,進港,高雄港,礦產品,基隆港,17150
102年07月,出港,高雄港,礦產品,基隆港,12300
102年07月,進港,高雄港,礦產品,臺中港,40000
102年07月,出港,高雄港,礦產品,臺中港,104700
102年07月,進港,高雄港,礦產品,花蓮港,102149
102年07月,出港,高雄港,礦產品,花蓮港,12200
102年07月,出港,高雄港,礦產品,蘇澳港,17000
102年07月,出港,高雄港,礦產品,臺北港,30000
102年07月,出港,高雄港,礦產品,馬公港,28156
102年07月,出港,高雄港,礦產品,深澳港,53000
102年07月,出港,高雄港,礦產品,小琉球,972
102年07月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,2067
102年07月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,10867
102年07月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,3737
102年07月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,12493
102年07月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,69
102年07月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,34
102年08月,進港,高雄港,礦產品,基隆港,13000
102年08月,出港,高雄港,礦產品,基隆港,25000
102年08月,進港,高雄港,礦產品,臺中港,17000
102年08月,出港,高雄港,礦產品,臺中港,191000
102年08月,進港,高雄港,礦產品,花蓮港,112606
102年08月,出港,高雄港,礦產品,花蓮港,12300
102年08月,出港,高雄港,礦產品,蘇澳港,6000
102年08月,出港,高雄港,礦產品,臺北港,21000
102年08月,出港,高雄港,礦產品,馬公港,27928
102年08月,出港,高雄港,礦產品,深澳港,72000
102年08月,進港,高雄港,礦產品,麥寮港,16000
102年08月,出港,高雄港,礦產品,小琉球,1490
102年08月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1360
102年08月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,9759
102年08月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,3773
102年08月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,14531
102年08月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,38
102年08月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,39
102年08月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,151
102年09月,出港,高雄港,礦產品,基隆港,15700
102年09月,進港,高雄港,礦產品,臺中港,5000
102年09月,出港,高雄港,礦產品,臺中港,82100
102年09月,進港,高雄港,礦產品,花蓮港,115667
102年09月,出港,高雄港,礦產品,花蓮港,86080
102年09月,進港,高雄港,礦產品,蘇澳港,10500
102年09月,出港,高雄港,礦產品,蘇澳港,29000
102年09月,進港,高雄港,礦產品,臺北港,16000
102年09月,出港,高雄港,礦產品,臺北港,27000
102年09月,出港,高雄港,礦產品,馬公港,20597
102年09月,出港,高雄港,礦產品,馬祖港,3258
102年09月,出港,高雄港,礦產品,深澳港,24000
102年09月,出港,高雄港,礦產品,小琉球,690
102年09月,出港,高雄港,礦產品,環島其他,46000
102年09月,出港,高雄港,"石料水泥石棉等材料之製品,陶瓷,玻璃",馬公港,4500
102年09月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,2598
102年09月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,5254
102年09月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,3724
102年09月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,14470
102年09月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,48
102年09月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,34
102年09月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,205
102年10月,出港,高雄港,礦產品,基隆港,100000
102年10月,進港,高雄港,礦產品,臺中港,5000
102年10月,出港,高雄港,礦產品,臺中港,172000
102年10月,進港,高雄港,礦產品,花蓮港,135445
102年10月,出港,高雄港,礦產品,花蓮港,30100
102年10月,進港,高雄港,礦產品,蘇澳港,43300
102年10月,出港,高雄港,礦產品,蘇澳港,21150
102年10月,出港,高雄港,礦產品,臺北港,33000
102年10月,出港,高雄港,礦產品,馬公港,16533
102年10月,出港,高雄港,礦產品,馬祖港,1629
102年10月,出港,高雄港,礦產品,深澳港,96000
102年10月,進港,高雄港,礦產品,麥寮港,14000
102年10月,出港,高雄港,礦產品,小琉球,590
102年10月,出港,高雄港,礦產品,環島其他,5800
102年10月,出港,高雄港,"石料水泥石棉等材料之製品,陶瓷,玻璃",馬公港,3000
102年10月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1676
102年10月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,5056
102年10月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,4475
102年10月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,15308
102年10月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,46
102年10月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,28
102年10月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,88
102年11月,出港,高雄港,礦產品,基隆港,7123
102年11月,出港,高雄港,礦產品,臺中港,211670
102年11月,進港,高雄港,礦產品,花蓮港,135321
102年11月,出港,高雄港,礦產品,花蓮港,18879
102年11月,進港,高雄港,礦產品,蘇澳港,11000
102年11月,出港,高雄港,礦產品,蘇澳港,30485
102年11月,出港,高雄港,礦產品,臺北港,19417
102年11月,出港,高雄港,礦產品,馬公港,13069
102年11月,出港,高雄港,礦產品,金門港,7335
102年11月,出港,高雄港,礦產品,深澳港,56808
102年11月,進港,高雄港,礦產品,麥寮港,20872
102年11月,出港,高雄港,礦產品,小琉球,1249
102年11月,出港,高雄港,礦產品,環島其他,10074
102年11月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1257
102年11月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,5376
102年11月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,3606
102年11月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,12404
102年11月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,40
102年11月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,18
102年11月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,80
102年12月,出港,高雄港,礦產品,基隆港,19163
102年12月,出港,高雄港,礦產品,臺中港,229754
102年12月,進港,高雄港,礦產品,花蓮港,87332
102年12月,出港,高雄港,礦產品,花蓮港,32797
102年12月,進港,高雄港,礦產品,蘇澳港,8000
102年12月,出港,高雄港,礦產品,蘇澳港,33756
102年12月,出港,高雄港,礦產品,臺北港,22934
102年12月,出港,高雄港,礦產品,馬公港,18216
102年12月,出港,高雄港,礦產品,金門港,8048
102年12月,出港,高雄港,礦產品,深澳港,56808
102年12月,出港,高雄港,礦產品,麥寮港,4464
102年12月,進港,高雄港,礦產品,和平港,37700
102年12月,出港,高雄港,礦產品,小琉球,895
102年12月,出港,高雄港,礦產品,環島其他,4918
102年12月,出港,高雄港,"石料水泥石棉等材料之製品,陶瓷,玻璃",馬公港,1500
102年12月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1365
102年12月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,4603
102年12月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,3957
102年12月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,15209
102年12月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,56
102年12月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,24
102年12月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,950
103年01月,出港,高雄港,礦產品,基隆港,108171
103年01月,出港,高雄港,礦產品,臺中港,165660
103年01月,進港,高雄港,礦產品,花蓮港,136537
103年01月,出港,高雄港,礦產品,花蓮港,28602
103年01月,進港,高雄港,礦產品,蘇澳港,7800
103年01月,出港,高雄港,礦產品,蘇澳港,14304
103年01月,出港,高雄港,礦產品,臺北港,34044
103年01月,出港,高雄港,礦產品,馬公港,14455
103年01月,出港,高雄港,礦產品,金門港,8221
103年01月,出港,高雄港,礦產品,深澳港,56808
103年01月,進港,高雄港,礦產品,和平港,10000
103年01月,出港,高雄港,礦產品,小琉球,834
103年01月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1526
103年01月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,6233
103年01月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,5190
103年01月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,14088
103年01月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,20
103年01月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,45
103年01月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,157
103年02月,出港,高雄港,礦產品,基隆港,70980
103年02月,出港,高雄港,礦產品,臺中港,58815
103年02月,進港,高雄港,礦產品,花蓮港,127926
103年02月,出港,高雄港,礦產品,花蓮港,25042
103年02月,進港,高雄港,礦產品,蘇澳港,37400
103年02月,出港,高雄港,礦產品,蘇澳港,43147
103年02月,出港,高雄港,礦產品,馬公港,7486
103年02月,出港,高雄港,礦產品,金門港,5565
103年02月,出港,高雄港,礦產品,深澳港,75744
103年02月,出港,高雄港,礦產品,小琉球,1127
103年02月,出港,高雄港,礦產品,環島其他,32766
103年02月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1445
103年02月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,4764
103年02月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,3062
103年02月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,10358
103年02月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,25
103年02月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,23
103年02月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,369
103年03月,出港,高雄港,礦產品,基隆港,79172
103年03月,出港,高雄港,礦產品,臺中港,189625
103年03月,進港,高雄港,礦產品,花蓮港,113821
103年03月,出港,高雄港,礦產品,花蓮港,35161
103年03月,進港,高雄港,礦產品,蘇澳港,16400
103年03月,出港,高雄港,礦產品,蘇澳港,30679
103年03月,出港,高雄港,礦產品,臺北港,67497
103年03月,出港,高雄港,礦產品,馬公港,18088
103年03月,出港,高雄港,礦產品,金門港,5165
103年03月,出港,高雄港,礦產品,深澳港,75744
103年03月,進港,高雄港,礦產品,和平港,60500
103年03月,出港,高雄港,礦產品,小琉球,717
103年03月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1659
103年03月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,6191
103年03月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,3406
103年03月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,13035
103年03月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,17
103年03月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,51
103年03月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,492
103年04月,出港,高雄港,礦產品,基隆港,39031
103年04月,出港,高雄港,礦產品,臺中港,190164
103年04月,進港,高雄港,礦產品,花蓮港,113847
103年04月,出港,高雄港,礦產品,花蓮港,35371
103年04月,進港,高雄港,礦產品,蘇澳港,9000
103年04月,出港,高雄港,礦產品,蘇澳港,39285
103年04月,出港,高雄港,礦產品,臺北港,54250
103年04月,出港,高雄港,礦產品,馬公港,13923
103年04月,出港,高雄港,礦產品,金門港,7624
103年04月,出港,高雄港,礦產品,深澳港,67854
103年04月,進港,高雄港,礦產品,和平港,39800
103年04月,出港,高雄港,礦產品,小琉球,868
103年04月,出港,高雄港,礦產品,環島其他,4240
103年04月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1810
103年04月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,7031
103年04月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,3511
103年04月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,13488
103年04月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,24
103年04月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,50
103年04月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,596
103年05月,出港,高雄港,礦產品,基隆港,15531
103年05月,出港,高雄港,礦產品,臺中港,164480
103年05月,進港,高雄港,礦產品,花蓮港,130595
103年05月,出港,高雄港,礦產品,花蓮港,15275
103年05月,進港,高雄港,礦產品,蘇澳港,25000
103年05月,出港,高雄港,礦產品,蘇澳港,55283
103年05月,出港,高雄港,礦產品,臺北港,55948
103年05月,出港,高雄港,礦產品,馬公港,19211
103年05月,出港,高雄港,礦產品,金門港,8704
103年05月,出港,高雄港,礦產品,馬祖港,1515
103年05月,出港,高雄港,礦產品,深澳港,56808
103年05月,進港,高雄港,礦產品,和平港,23100
103年05月,出港,高雄港,礦產品,小琉球,679
103年05月,出港,高雄港,礦產品,環島其他,5088
103年05月,出港,高雄港,"石料水泥石棉等材料之製品,陶瓷,玻璃",馬公港,1500
103年05月,進港,高雄港,"石料水泥石棉等材料之製品,陶瓷,玻璃",和平港,26000
103年05月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1659
103年05月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,6332
103年05月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,3738
103年05月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,12829
103年05月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,21
103年05月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,53
103年05月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,561
103年06月,出港,高雄港,礦產品,基隆港,7123
103年06月,出港,高雄港,礦產品,臺中港,128479
103年06月,進港,高雄港,礦產品,花蓮港,101248
103年06月,出港,高雄港,礦產品,花蓮港,21091
103年06月,進港,高雄港,礦產品,蘇澳港,7800
103年06月,出港,高雄港,礦產品,蘇澳港,24472
103年06月,出港,高雄港,礦產品,臺北港,30032
103年06月,出港,高雄港,礦產品,馬公港,20261
103年06月,出港,高雄港,礦產品,金門港,9380
103年06月,出港,高雄港,礦產品,馬祖港,1532
103年06月,出港,高雄港,礦產品,深澳港,77690
103年06月,出港,高雄港,礦產品,麥寮港,5022
103年06月,進港,高雄港,礦產品,和平港,5500
103年06月,出港,高雄港,礦產品,小琉球,674
103年06月,出港,高雄港,礦產品,環島其他,5071
103年06月,出港,高雄港,"石料水泥石棉等材料之製品,陶瓷,玻璃",馬公港,4500
103年06月,進港,高雄港,"石料水泥石棉等材料之製品,陶瓷,玻璃",和平港,39000
103年06月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1699
103年06月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,5584
103年06月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,1714
103年06月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,19323
103年06月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,22
103年06月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,60
103年06月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,1100
103年07月,出港,高雄港,礦產品,臺中港,94523
103年07月,進港,高雄港,礦產品,花蓮港,115483
103年07月,出港,高雄港,礦產品,花蓮港,59920
103年07月,進港,高雄港,礦產品,蘇澳港,15900
103年07月,出港,高雄港,礦產品,蘇澳港,23852
103年07月,進港,高雄港,礦產品,臺北港,15906
103年07月,出港,高雄港,礦產品,臺北港,12800
103年07月,出港,高雄港,礦產品,馬公港,16799
103年07月,出港,高雄港,礦產品,金門港,12004
103年07月,出港,高雄港,礦產品,馬祖港,2990
103年07月,出港,高雄港,礦產品,深澳港,81978
103年07月,出港,高雄港,礦產品,麥寮港,4985
103年07月,進港,高雄港,礦產品,和平港,43100
103年07月,出港,高雄港,礦產品,小琉球,456
103年07月,出港,高雄港,礦產品,環島其他,8480
103年07月,進港,高雄港,塑膠橡膠及其製品,金門港,5
103年07月,進港,高雄港,"木漿紙漿,紙及紙板及其製品",金門港,30
103年07月,出港,高雄港,"石料水泥石棉等材料之製品,陶瓷,玻璃",金門港,125
103年07月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1775
103年07月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,6691
103年07月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,2040
103年07月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,18985
103年07月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,30
103年07月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,57
103年07月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,755
103年08月,出港,高雄港,礦產品,基隆港,51085
103年08月,出港,高雄港,礦產品,臺中港,116000
103年08月,進港,高雄港,礦產品,花蓮港,100703
103年08月,出港,高雄港,礦產品,花蓮港,18355
103年08月,進港,高雄港,礦產品,蘇澳港,8800
103年08月,出港,高雄港,礦產品,蘇澳港,14694
103年08月,出港,高雄港,礦產品,臺北港,15500
103年08月,出港,高雄港,礦產品,馬公港,25096
103年08月,出港,高雄港,礦產品,金門港,10303
103年08月,出港,高雄港,礦產品,深澳港,75744
103年08月,進港,高雄港,礦產品,麥寮港,12946
103年08月,出港,高雄港,礦產品,麥寮港,4082
103年08月,進港,高雄港,礦產品,和平港,69600
103年08月,出港,高雄港,礦產品,小琉球,674
103年08月,出港,高雄港,礦產品,環島其他,5071
103年08月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,2232
103年08月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,5622
103年08月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,2383
103年08月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,22812
103年08月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,26
103年08月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,55
103年08月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,487
103年09月,出港,高雄港,礦產品,基隆港,42952
103年09月,出港,高雄港,礦產品,臺中港,107652
103年09月,進港,高雄港,礦產品,花蓮港,120448
103年09月,出港,高雄港,礦產品,花蓮港,13112
103年09月,進港,高雄港,礦產品,蘇澳港,6800
103年09月,出港,高雄港,礦產品,蘇澳港,73189
103年09月,出港,高雄港,礦產品,臺北港,12800
103年09月,出港,高雄港,礦產品,馬公港,19081
103年09月,出港,高雄港,礦產品,金門港,10504
103年09月,出港,高雄港,礦產品,馬祖港,1572
103年09月,出港,高雄港,礦產品,深澳港,37872
103年09月,進港,高雄港,礦產品,和平港,41600
103年09月,出港,高雄港,礦產品,小琉球,1018
103年09月,出港,高雄港,礦產品,環島其他,5071
103年09月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1993
103年09月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,6177
103年09月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,2302
103年09月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,21884
103年09月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,34
103年09月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,53
103年09月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,277
103年10月,進港,高雄港,礦產品,基隆港,4180
103年10月,出港,高雄港,礦產品,基隆港,35594
103年10月,出港,高雄港,礦產品,臺中港,125159
103年10月,進港,高雄港,礦產品,花蓮港,120866
103年10月,出港,高雄港,礦產品,花蓮港,34394
103年10月,進港,高雄港,礦產品,蘇澳港,12100
103年10月,出港,高雄港,礦產品,蘇澳港,68893
103年10月,出港,高雄港,礦產品,臺北港,27930
103年10月,出港,高雄港,礦產品,馬公港,21621
103年10月,出港,高雄港,礦產品,金門港,9879
103年10月,出港,高雄港,礦產品,馬祖港,1509
103年10月,出港,高雄港,礦產品,深澳港,75744
103年10月,進港,高雄港,礦產品,和平港,40300
103年10月,出港,高雄港,礦產品,小琉球,718
103年10月,出港,高雄港,礦產品,環島其他,38461
103年10月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1650
103年10月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,7106
103年10月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,3259
103年10月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,20760
103年10月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,630
103年11月,出港,高雄港,礦產品,基隆港,45456
103年11月,出港,高雄港,礦產品,臺中港,161257
103年11月,進港,高雄港,礦產品,花蓮港,155058
103年11月,出港,高雄港,礦產品,花蓮港,39280
103年11月,進港,高雄港,礦產品,蘇澳港,33700
103年11月,出港,高雄港,礦產品,蘇澳港,9194
103年11月,出港,高雄港,礦產品,臺北港,53286
103年11月,出港,高雄港,礦產品,馬公港,18507
103年11月,出港,高雄港,礦產品,金門港,6623
103年11月,出港,高雄港,礦產品,深澳港,56800
103年11月,出港,高雄港,礦產品,麥寮港,5018
103年11月,進港,高雄港,礦產品,和平港,32500
103年11月,出港,高雄港,礦產品,小琉球,225
103年11月,出港,高雄港,礦產品,環島其他,5071
103年11月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1246
103年11月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,5707
103年11月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,1812
103年11月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,17596
103年11月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,16
103年11月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,40
103年11月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,407
103年12月,出港,高雄港,礦產品,基隆港,84206
103年12月,出港,高雄港,礦產品,臺中港,143094
103年12月,進港,高雄港,礦產品,花蓮港,131026
103年12月,出港,高雄港,礦產品,花蓮港,24287
103年12月,進港,高雄港,礦產品,蘇澳港,32300
103年12月,出港,高雄港,礦產品,蘇澳港,27862
103年12月,出港,高雄港,礦產品,臺北港,27460
103年12月,出港,高雄港,礦產品,馬公港,11399
103年12月,出港,高雄港,礦產品,金門港,10044
103年12月,出港,高雄港,礦產品,深澳港,37872
103年12月,出港,高雄港,礦產品,麥寮港,4254
103年12月,進港,高雄港,礦產品,和平港,32500
103年12月,出港,高雄港,礦產品,小琉球,220
103年12月,出港,高雄港,礦產品,環島其他,8474
103年12月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,996
103年12月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,5216
103年12月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,2049
103年12月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,15084
103年12月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,25
103年12月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,32
103年12月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,587
104年01月,出港,高雄港,礦產品,基隆港,42760
104年01月,出港,高雄港,礦產品,臺中港,106765
104年01月,進港,高雄港,礦產品,花蓮港,182805
104年01月,出港,高雄港,礦產品,花蓮港,18973
104年01月,進港,高雄港,礦產品,蘇澳港,19600
104年01月,出港,高雄港,礦產品,蘇澳港,9272
104年01月,出港,高雄港,礦產品,臺北港,48336
104年01月,出港,高雄港,礦產品,馬公港,18504
104年01月,出港,高雄港,礦產品,金門港,5956
104年01月,出港,高雄港,礦產品,深澳港,53652
104年01月,出港,高雄港,礦產品,麥寮港,12330
104年01月,出港,高雄港,礦產品,小琉球,511
104年01月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1471
104年01月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,6520
104年01月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,3249
104年01月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,15427
104年01月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,16
104年01月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,24
104年01月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,3789
104年02月,出港,高雄港,礦產品,基隆港,28000
104年02月,出港,高雄港,礦產品,臺中港,191714
104年02月,進港,高雄港,礦產品,花蓮港,79268
104年02月,出港,高雄港,礦產品,花蓮港,21998
104年02月,進港,高雄港,礦產品,蘇澳港,34500
104年02月,出港,高雄港,礦產品,蘇澳港,46699
104年02月,出港,高雄港,礦產品,馬公港,19308
104年02月,出港,高雄港,礦產品,金門港,5115
104年02月,出港,高雄港,礦產品,麥寮港,8230
104年02月,進港,高雄港,礦產品,和平港,39800
104年02月,出港,高雄港,礦產品,小琉球,1264
104年02月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1154
104年02月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,5526
104年02月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,2664
104年02月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,10193
104年02月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,27
104年02月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,43
104年02月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,1947
104年03月,出港,高雄港,礦產品,基隆港,54142
104年03月,出港,高雄港,礦產品,臺中港,119601
104年03月,進港,高雄港,礦產品,花蓮港,137205
104年03月,出港,高雄港,礦產品,花蓮港,13726
104年03月,進港,高雄港,礦產品,蘇澳港,26400
104年03月,出港,高雄港,礦產品,蘇澳港,33578
104年03月,出港,高雄港,礦產品,臺北港,36336
104年03月,出港,高雄港,礦產品,馬公港,9307
104年03月,出港,高雄港,礦產品,金門港,8502
104年03月,出港,高雄港,礦產品,麥寮港,12315
104年03月,進港,高雄港,礦產品,和平港,32500
104年03月,出港,高雄港,礦產品,小琉球,404
104年03月,出港,高雄港,礦產品,環島其他,100170
104年03月,進港,高雄港,"家具玩具運動用品,雜項製品",馬公港,1450
104年03月,出港,高雄港,"家具玩具運動用品,雜項製品",馬公港,6741
104年03月,進港,高雄港,"家具玩具運動用品,雜項製品",金門港,2893
104年03月,出港,高雄港,"家具玩具運動用品,雜項製品",金門港,15579
104年03月,進港,高雄港,"家具玩具運動用品,雜項製品",七美港,26
104年03月,出港,高雄港,"家具玩具運動用品,雜項製品",七美港,46
104年03月,出港,高雄港,"家具玩具運動用品,雜項製品",外島其他,3200
104年04月,出港,高雄港,礦產品,基隆港,98758
104年04月,出港,高雄港,礦產品,臺中港,177934
104年04月,進港,高雄港,礦產品,花蓮港,117008
104年04月,出港,高雄港,礦產品,花蓮港,25220
104年04月,進港,高雄港,礦產品,蘇澳港,14800
104年04月,出港,高雄港,礦產品,蘇澳港,4506
104年04月,出港,高雄港,礦產品,臺北港,32636
104年04月,出港,高雄港,礦產品,馬公港,20713
104年04月,出港,高雄港,礦產品,金門港,7878
104年04月,出港,高雄港,礦產品,麥寮港,8210
104年04月,進港,高雄港,礦產品,和平港,46700
104年04月,出港,高雄港,礦產品,小琉球,622
