時間,近/遠洋,進/出港,裝/卸貨,航線名稱,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船舶國籍,船舶運能,艘次
2015/8/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/9/9 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/8/6 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/7/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/9/19 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/6/22 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),中國大陸,浙江寧波,基隆港,全貨櫃船,賴比瑞亞,6000~10000TEU,1
2015/6/22 上午 12:00:00,遠洋航線,進港,裝貨,C410南非航線(含大陸),中國大陸,浙江寧波,基隆港,全貨櫃船,巴拿馬,10000~14000TEU,1
2015/6/14 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),中國大陸,浙江寧波,基隆港,全貨櫃船,賽普勒斯,6000~10000TEU,1
2015/6/14 上午 12:00:00,遠洋航線,進港,裝貨,C410南非航線(含大陸),中國大陸,浙江寧波,基隆港,全貨櫃船,巴拿馬,6000~10000TEU,1
2015/6/6 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/7/18 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/9/12 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),中國大陸,廈門,基隆港,全貨櫃船,巴拿馬,6000~10000TEU,1
2015/7/4 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),中國大陸,廈門,基隆港,全貨櫃船,巴拿馬,6000~10000TEU,1
2021/5/26 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),中國大陸,Xiamen,台中港,全貨櫃船,賴比瑞亞,3000TEU以下,1
2016/8/16 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),中國大陸,浙江寧波,台中港,全貨櫃船,賴比瑞亞,3000TEU以下,1
2015/8/2 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,台中港,雜貨船,巴拿馬,6000~10000TEU,1
2015/1/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,台中港,雜貨船,巴拿馬,6000~10000TEU,1
2015/5/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,台中港,全貨櫃船,中華民國,6000~10000TEU,1
2015/4/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,台中港,雜貨船,中國大陸,6000~10000TEU,1
2015/1/19 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,台中港,全貨櫃船,中華民國,6000~10000TEU,1
2015/4/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,台中港,全貨櫃船,中華民國,6000~10000TEU,1
2015/3/14 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,台中港,油輪,中國大陸,6000~10000TEU,1
2020/12/3 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廣東新沙,台中港,汽車船,馬紹爾群島共和國,3000~6000TEU,1
2020/2/29 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,鎮江,台中港,散裝船,馬紹爾群島共和國,3000TEU以下,1
2021/6/22 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,鎮江,台中港,散裝船,香港,3000TEU以下,1
2015/8/31 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,鎮江,台中港,化學液體船,中國大陸,6000~10000TEU,1
2015/12/2 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,鎮江,台中港,化學液體船,香港,6000~10000TEU,1
2019/5/15 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,鎮江,台中港,散裝船,馬爾他,3000TEU以下,1
2018/8/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,鎮江,台中港,散裝船,巴拿馬,3000TEU以下,1
2015/4/3 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,台中港,雜貨船,中華民國,6000~10000TEU,1
2015/4/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,台中港,全貨櫃船,中華民國,6000~10000TEU,1
2017/7/25 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,台中港,散裝船,新加坡,3000TEU以下,1
2015/8/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/8/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/9/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/8/31 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/8/31 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/8/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/8/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/8/9 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),中國大陸,廈門,基隆港,全貨櫃船,新加坡,6000~10000TEU,1
2015/8/14 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,基隆港,雜貨船,巴拿馬,6000~10000TEU,1
2015/8/16 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,基隆港,散裝船,巴拿馬,6000~10000TEU,1
2015/1/28 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,大阪,基隆港,全貨櫃船,馬紹爾群島共和國,6000~10000TEU,1
2015/2/25 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,大阪,基隆港,全貨櫃船,馬紹爾群島共和國,6000~10000TEU,1
2017/5/17 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,大阪,基隆港,全貨櫃船,馬紹爾群島共和國,3000TEU以下,1
2017/3/22 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,大阪,基隆港,全貨櫃船,馬紹爾群島共和國,3000TEU以下,1
2017/5/3 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,大阪,基隆港,全貨櫃船,馬紹爾群島共和國,3000TEU以下,1
2017/4/19 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,大阪,基隆港,全貨櫃船,馬紹爾群島共和國,3000TEU以下,1
2017/4/5 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,大阪,基隆港,全貨櫃船,馬紹爾群島共和國,3000TEU以下,1
2017/11/1 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,3000TEU以下,1
2017/11/20 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,台中港,散裝船,新加坡,3000TEU以下,1
2018/3/21 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,台中港,散裝船,挪威,3000TEU以下,1
2016/8/21 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,台中港,散裝船,新加坡,3000TEU以下,1
2016/8/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,台中港,雜貨船,巴拿馬,3000TEU以下,1
2015/3/11 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,台中港,化學液體船,挪威,6000~10000TEU,1
2015/6/1 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,台中港,散裝船,賴比瑞亞,6000~10000TEU,1
2015/4/22 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,台中港,雜貨船,巴拿馬,6000~10000TEU,1
2015/7/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,台中港,全貨櫃船,中國大陸,6000~10000TEU,1
2017/6/20 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,台中港,散裝船,新加坡,3000TEU以下,1
2016/7/26 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),中國大陸,浙江寧波,台中港,全貨櫃船,賴比瑞亞,3000TEU以下,1
2016/8/2 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),中國大陸,浙江寧波,台中港,全貨櫃船,賴比瑞亞,3000TEU以下,1
2015/5/12 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,台中港,全貨櫃船,香港,6000~10000TEU,1
2015/3/6 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,台中港,油輪,馬爾他,6000~10000TEU,1
2015/7/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,台中港,散裝船,新加坡,6000~10000TEU,1
2015/5/31 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),新加坡,新加坡港,台中港,全貨櫃船,新加坡,6000~10000TEU,1
2017/2/1 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),中國大陸,浙江寧波,台中港,全貨櫃船,賴比瑞亞,3000TEU以下,1
2015/11/15 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/9/10 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/10/27 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,馬爾他,10000~14000TEU,1
2015/11/30 上午 12:00:00,遠洋航線,進港,裝貨,D104北美洲航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,英國,14000TEU以上,1
2015/9/29 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,丹麥,6000~10000TEU,1
2015/4/24 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,高雄港,雜貨船,香港,6000~10000TEU,1
2015/5/1 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,高雄港,全貨櫃船,香港,6000~10000TEU,1
2015/4/11 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,高雄港,全貨櫃船,香港,6000~10000TEU,1
2015/4/27 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,廈門,高雄港,全貨櫃船,伊朗,6000~10000TEU,1
2015/4/15 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,廈門,高雄港,全貨櫃船,伊朗,6000~10000TEU,1
2015/4/9 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,廈門,高雄港,全貨櫃船,伊朗,6000~10000TEU,1
2015/11/10 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,丹麥,6000~10000TEU,1
2015/10/14 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,香港,14000TEU以上,1
2015/12/6 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,鹽田,高雄港,全貨櫃船,香港,6000~10000TEU,1
2015/11/6 上午 12:00:00,遠洋航線,進港,裝貨,B410黑海航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,賽普勒斯,14000TEU以上,1
2015/11/23 上午 12:00:00,遠洋航線,進港,裝貨,D004美洲航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,香港,6000~10000TEU,1
2015/12/16 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,香港,14000TEU以上,1
2015/12/2 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,香港,14000TEU以上,1
2015/11/23 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,巴拿馬,10000~14000TEU,1
2017/11/22 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,3000TEU以下,1
2017/12/19 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,3000TEU以下,1
2017/12/12 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,3000TEU以下,1
2017/11/15 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,3000TEU以下,1
2017/12/6 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,3000TEU以下,1
2015/5/13 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/5/20 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/6/10 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/7/8 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/3/25 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/1/21 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/4/15 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/4/22 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/2/18 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/3/18 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/6/17 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/7/15 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/8/12 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/9/11 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/7/23 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/12/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/11/22 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/11/29 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2017/3/8 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),中國大陸,浙江寧波,台中港,全貨櫃船,賴比瑞亞,3000TEU以下,1
2015/11/5 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,多用途船,中國大陸,6000~10000TEU,1
2016/7/5 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,台中港,散裝船,香港,3000TEU以下,1
2015/9/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/11/20 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/9/27 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/10/1 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/10/2 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/8/19 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),中國大陸,蛇口,台中港,全貨櫃船,巴拿馬,6000~10000TEU,1
2015/9/23 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),中國大陸,蛇口,台中港,全貨櫃船,巴拿馬,6000~10000TEU,1
2015/10/8 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),中國大陸,蛇口,台中港,全貨櫃船,巴拿馬,6000~10000TEU,1
2015/11/18 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),中國大陸,蛇口,台中港,全貨櫃船,巴拿馬,6000~10000TEU,1
2020/8/1 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,木材船,日本,3000TEU以下,1
2015/9/9 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),中國大陸,蛇口,台中港,全貨櫃船,巴拿馬,6000~10000TEU,1
2015/11/23 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,巴拿馬,10000~14000TEU,1
2015/12/8 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,香港,14000TEU以上,1
2015/12/1 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,賴比瑞亞,10000~14000TEU,1
2015/12/1 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,巴拿馬,10000~14000TEU,1
2015/10/12 上午 12:00:00,近洋航線,進港,裝貨,A814印度洋航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,賴比瑞亞,6000~10000TEU,1
2015/10/14 上午 12:00:00,遠洋航線,進港,裝貨,D104北美洲航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,巴拿馬,14000TEU以上,1
2015/10/28 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,香港,14000TEU以上,1
2015/11/22 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,香港,6000~10000TEU,1
2016/11/7 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,香港,3000~6000TEU,1
2016/10/26 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,巴拿馬,3000~6000TEU,1
2016/11/14 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,德意志（德國）,3000~6000TEU,1
2016/8/24 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,巴拿馬,3000~6000TEU,1
2015/3/14 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,廈門,高雄港,全貨櫃船,伊朗,6000~10000TEU,1
2021/6/5 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,高雄港,全貨櫃船,中華民國,6000~10000TEU,1
2021/7/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,高雄港,全貨櫃船,中華民國,6000~10000TEU,1
2021/6/16 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),中國大陸,廈門,高雄港,全貨櫃船,新加坡,6000~10000TEU,1
2016/10/12 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,巴拿馬,3000~6000TEU,1
2015/9/2 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/8/5 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/9/9 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/8/6 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/9/10 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/7/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,廈門,基隆港,全貨櫃船,中國大陸,6000~10000TEU,1
2015/9/19 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),中國大陸,廈門,基隆港,全貨櫃船,新加坡,6000~10000TEU,1
2020/7/7 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),中國大陸,上海,基隆港,全貨櫃船,賴比瑞亞,3000~6000TEU,1
2020/4/7 上午 12:00:00,遠洋航線,進港,裝貨,C410南非航線(含大陸),新加坡,新加坡港,基隆港,全貨櫃船,巴拿馬,3000TEU以下,1
2019/11/11 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,新加坡,新加坡港,基隆港,汽車船,巴拿馬,3000~6000TEU,1
2015/7/4 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),中國大陸,廈門,基隆港,全貨櫃船,賴比瑞亞,6000~10000TEU,1
2015/8/26 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/9/3 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,浙江寧波,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/7/5 上午 12:00:00,遠洋航線,進港,裝貨,C410南非航線(含大陸),中國大陸,浙江寧波,基隆港,全貨櫃船,巴拿馬,6000~10000TEU,1
2015/9/26 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),中國大陸,廈門,基隆港,全貨櫃船,巴拿馬,6000~10000TEU,1
2015/9/26 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),中國大陸,廈門,基隆港,全貨櫃船,賴比瑞亞,6000~10000TEU,1
2015/11/4 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/10/28 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),日本,大阪,基隆港,全貨櫃船,香港,6000~10000TEU,1
2015/7/30 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),中國大陸,蛇口,台中港,全貨櫃船,巴拿馬,6000~10000TEU,1
2015/7/1 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),中國大陸,蛇口,台中港,全貨櫃船,巴拿馬,6000~10000TEU,1
2015/7/30 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,蛇口,台中港,全貨櫃船,香港,6000~10000TEU,1
2017/7/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,散裝船,巴拿馬,3000TEU以下,1
2020/1/5 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,LPG,德意志（德國）,3000TEU以下,1
2021/5/8 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),中國大陸,福州,台中港,全貨櫃船,馬爾他,3000TEU以下,1
2015/10/11 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/10/8 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/10/9 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/12/13 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,全貨櫃船,香港,6000~10000TEU,1
2015/10/19 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,全貨櫃船,香港,6000~10000TEU,1
2015/10/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/8/6 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/7/4 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,台中港,多用途船,德意志（德國）,6000~10000TEU,1
2015/5/14 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,福州,台中港,客貨船,中國大陸,6000~10000TEU,1
2015/5/14 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,上海,台中港,雜貨船,巴哈馬,6000~10000TEU,1
