時間,近/遠洋,進/出港,裝/卸貨,航線名稱,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船舶國籍,船舶運能,艘次
2019/6/18 上午 12:00:00,遠洋航線,進港,裝貨,D114北美東岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,巴拿馬,3000~6000TEU,1
2019/6/18 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,巴拿馬,3000~6000TEU,1
2019/6/25 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,賴比瑞亞,3000~6000TEU,1
2019/6/24 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,馬紹爾群島共和國,3000TEU以下,1
2019/5/6 上午 12:00:00,遠洋航線,進港,裝貨,D104北美洲航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,馬紹爾群島共和國,3000TEU以下,1
2019/5/29 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,馬紹爾群島共和國,3000~6000TEU,1
2019/4/22 上午 12:00:00,遠洋航線,進港,裝貨,D104北美洲航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,馬紹爾群島共和國,3000TEU以下,1
2019/4/13 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,馬紹爾群島共和國,3000TEU以下,1
2019/3/25 上午 12:00:00,遠洋航線,進港,裝貨,D104北美洲航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,馬紹爾群島共和國,3000TEU以下,1
2019/6/2 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,巴拿馬,3000TEU以下,1
2019/5/27 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,巴拿馬,3000TEU以下,1
2019/5/27 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,賴比瑞亞,3000~6000TEU,1
2019/5/6 上午 12:00:00,遠洋航線,進港,裝貨,D114北美東岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,巴拿馬,6000~10000TEU,1
2019/5/7 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,德意志（德國）,3000~6000TEU,1
2019/5/7 上午 12:00:00,遠洋航線,進港,裝貨,D114北美東岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,巴拿馬,3000~6000TEU,1
2021/7/30 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,香港,6000~10000TEU,1
2021/5/7 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,香港,6000~10000TEU,1
2021/5/4 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,香港,3000~6000TEU,1
2021/7/28 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,香港,3000~6000TEU,1
2021/5/5 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,賴比瑞亞,6000~10000TEU,2
2021/6/11 上午 12:00:00,遠洋航線,進港,裝貨,D114北美東岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,賴比瑞亞,6000~10000TEU,1
2021/5/14 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,賴比瑞亞,6000~10000TEU,1
2021/7/3 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,葡萄牙,3000TEU以下,1
2021/5/5 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,義大利,6000~10000TEU,1
2020/12/27 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,義大利,3000~6000TEU,1
2021/2/4 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,葡萄牙,3000~6000TEU,1
2021/3/4 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,義大利,3000~6000TEU,1
2021/2/26 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,義大利,3000~6000TEU,1
2021/5/21 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,葡萄牙,10000~14000TEU,1
2020/10/3 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,義大利,3000~6000TEU,1
2020/12/17 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,義大利,3000~6000TEU,1
2020/10/12 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,中國大陸,鹽田,高雄港,LNG,科威特,3000TEU以下,1
2021/5/15 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,義大利,6000~10000TEU,1
2021/5/8 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,英國,6000~10000TEU,1
2021/5/10 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,新加坡,3000~6000TEU,2
2021/5/8 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),中國大陸,鹽田,高雄港,全貨櫃船,香港,14000TEU以上,1
2019/1/6 上午 12:00:00,遠洋航線,進港,裝貨,B104歐洲/地中海航線(含大陸),中國大陸,寧波,高雄港,全貨櫃船,巴拿馬,10000~14000TEU,1
2019/3/19 上午 12:00:00,遠洋航線,進港,裝貨,A912亞洲/地中海航線(含大陸),中國大陸,寧波,高雄港,全貨櫃船,巴拿馬,10000~14000TEU,1
2021/7/11 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),香港,香港,高雄港,全貨櫃船,新加坡,3000TEU以下,1
2021/5/24 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),香港,香港,高雄港,全貨櫃船,新加坡,3000TEU以下,1
2021/6/21 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),香港,香港,高雄港,全貨櫃船,香港,3000~6000TEU,1
2021/7/21 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),香港,香港,高雄港,全貨櫃船,香港,10000~14000TEU,1
2021/7/11 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),香港,香港,高雄港,全貨櫃船,香港,3000TEU以下,1
2021/6/27 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),香港,香港,高雄港,全貨櫃船,巴拿馬,6000~10000TEU,1
2021/6/18 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),香港,香港,高雄港,全貨櫃船,賴比瑞亞,10000~14000TEU,1
2021/6/2 上午 12:00:00,,進港,裝貨,F004環球航線(含大陸),香港,香港,高雄港,全貨櫃船,巴拿馬,6000~10000TEU,1
2021/5/2 上午 12:00:00,近洋航線,進港,裝貨,A300東南、北亞航線,香港,香港,高雄港,全貨櫃船,巴拿馬,3000TEU以下,1
2021/5/2 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),香港,香港,高雄港,全貨櫃船,新加坡,3000TEU以下,1
2021/7/9 上午 12:00:00,遠洋航線,進港,裝貨,B410黑海航線(含大陸),香港,香港,高雄港,全貨櫃船,香港,10000~14000TEU,1
2021/7/17 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),香港,香港,高雄港,全貨櫃船,香港,10000~14000TEU,1
2021/5/22 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),香港,香港,高雄港,全貨櫃船,香港,3000~6000TEU,1
2021/7/8 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),香港,香港,高雄港,全貨櫃船,香港,3000~6000TEU,1
2021/5/2 上午 12:00:00,遠洋航線,進港,裝貨,D504中南美洲航(含大陸),香港,香港,高雄港,全貨櫃船,新加坡,3000TEU以下,1
2021/7/18 上午 12:00:00,,進港,裝貨,F004環球航線(含大陸),香港,香港,高雄港,全貨櫃船,巴拿馬,6000~10000TEU,1
2021/6/16 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),香港,香港,高雄港,全貨櫃船,巴拿馬,14000TEU以上,1
2021/7/18 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),香港,香港,高雄港,全貨櫃船,巴拿馬,14000TEU以上,1
2021/6/14 上午 12:00:00,遠洋航線,進港,裝貨,D204美國航線(含大陸),香港,香港,高雄港,全貨櫃船,巴拿馬,6000~10000TEU,1
2021/4/27 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),香港,香港,高雄港,全貨櫃船,巴拿馬,14000TEU以上,1
2021/6/15 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),香港,香港,高雄港,全貨櫃船,賴比瑞亞,3000~6000TEU,1
2021/6/15 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),香港,香港,高雄港,全貨櫃船,巴拿馬,10000~14000TEU,1
