時間(年),船種,案件種類,發生次數
101,商船,傾覆 (件),2
101,漁船,洩漏 (件),1
101,商船,洩漏 (件),0
101,漁船,爆炸 (件),0
101,商船,爆炸 (件),0
101,漁船,失火 (件),0
101,商船,失火 (件),11
101,漁船,觸礁或擱淺 (件),1
101,商船,觸礁或擱淺 (件),6
101,漁船,與其他物碰撞 (件),2
101,商船,與其他物碰撞 (件),0
101,漁船,兩船碰撞 (件),8
101,商船,兩船碰撞 (件),7
100,漁船,船沉(艘),1
100,商船,船沉(艘),24
100,漁船,船損(艘),25
100,商船,船損(艘),58
100,漁船,死亡(人),2
100,商船,死亡(人),22
100,漁船,失蹤(人),3
100,商船,失蹤(人),26
100,漁船,受傷(人),27
100,商船,受傷(人),14
100,漁船,其他 (件),15
100,商船,其他 (件),35
100,漁船,非常變故 (件),5
100,商船,非常變故 (件),8
100,漁船,機器故障 (件),6
100,商船,機器故障 (件),42
100,漁船,傾覆 (件),0
100,商船,傾覆 (件),3
100,漁船,洩漏 (件),2
100,商船,洩漏 (件),0
100,漁船,爆炸 (件),0
100,商船,爆炸 (件),2
100,漁船,失火 (件),2
100,商船,失火 (件),9
100,漁船,觸礁或擱淺 (件),1
100,商船,觸礁或擱淺 (件),8
100,漁船,與其他物碰撞 (件),4
100,商船,與其他物碰撞 (件),1
100,漁船,兩船碰撞 (件),11
100,商船,兩船碰撞 (件),14
99,漁船,船沉(艘),0
99,商船,船沉(艘),0
99,漁船,船損(艘),1
99,商船,船損(艘),1
99,漁船,死亡(人),0
99,商船,死亡(人),0
99,漁船,失蹤(人),0
99,商船,失蹤(人),0
99,漁船,受傷(人),0
99,商船,受傷(人),0
99,漁船,其他 (件),0
99,商船,其他 (件),0
99,漁船,非常變故 (件),0
99,商船,非常變故 (件),0
99,漁船,機器故障 (件),1
99,商船,機器故障 (件),1
99,漁船,傾覆 (件),0
99,商船,傾覆 (件),0
99,漁船,洩漏 (件),0
99,商船,洩漏 (件),0
99,漁船,爆炸 (件),0
99,商船,爆炸 (件),0
99,漁船,失火 (件),0
99,商船,失火 (件),0
99,漁船,觸礁或擱淺 (件),0
99,商船,觸礁或擱淺 (件),0
99,漁船,與其他物碰撞 (件),0
99,商船,與其他物碰撞 (件),1
99,漁船,兩船碰撞 (件),0
99,商船,兩船碰撞 (件),0
98,漁船,船沉(艘),0
98,商船,船沉(艘),0
98,漁船,船損(艘),0
98,商船,船損(艘),0
98,漁船,死亡(人),0
98,商船,死亡(人),0
98,漁船,失蹤(人),0
98,商船,失蹤(人),0
98,漁船,受傷(人),0
98,商船,受傷(人),0
98,漁船,其他 (件),0
98,商船,其他 (件),0
98,漁船,非常變故 (件),0
98,商船,非常變故 (件),0
98,漁船,機器故障 (件),0
98,商船,機器故障 (件),0
98,漁船,傾覆 (件),0
98,商船,傾覆 (件),0
98,漁船,洩漏 (件),0
98,商船,洩漏 (件),0
98,漁船,爆炸 (件),0
98,商船,爆炸 (件),0
98,漁船,失火 (件),0
98,商船,失火 (件),0
98,漁船,觸礁或擱淺 (件),0
98,商船,觸礁或擱淺 (件),0
98,漁船,與其他物碰撞 (件),0
98,商船,與其他物碰撞 (件),0
98,漁船,兩船碰撞 (件),0
98,商船,兩船碰撞 (件),0
97,漁船,船沉(艘),0
97,商船,船沉(艘),0
97,漁船,船損(艘),0
97,商船,船損(艘),0
97,漁船,死亡(人),0
97,商船,死亡(人),0
97,漁船,失蹤(人),0
97,商船,失蹤(人),0
97,漁船,受傷(人),0
97,商船,受傷(人),0
97,漁船,其他 (件),0
97,商船,其他 (件),0
97,漁船,非常變故 (件),0
97,商船,非常變故 (件),0
97,漁船,機器故障 (件),0
97,商船,機器故障 (件),0
97,漁船,傾覆 (件),0
97,商船,傾覆 (件),0
97,漁船,洩漏 (件),0
97,商船,洩漏 (件),0
97,漁船,爆炸 (件),0
97,商船,爆炸 (件),0
97,漁船,失火 (件),0
97,商船,失火 (件),0
97,漁船,觸礁或擱淺 (件),0
97,商船,觸礁或擱淺 (件),0
97,漁船,與其他物碰撞 (件),0
97,商船,與其他物碰撞 (件),0
97,漁船,兩船碰撞 (件),0
97,商船,兩船碰撞 (件),0
96,漁船,船沉(艘),0
96,商船,船沉(艘),0
96,漁船,船損(艘),0
96,商船,船損(艘),0
96,漁船,死亡(人),0
96,商船,死亡(人),0
96,漁船,失蹤(人),0
96,商船,失蹤(人),0
96,漁船,受傷(人),0
96,商船,受傷(人),0
96,漁船,其他 (件),0
96,商船,其他 (件),0
96,漁船,非常變故 (件),0
96,商船,非常變故 (件),0
96,漁船,機器故障 (件),0
96,商船,機器故障 (件),0
96,漁船,傾覆 (件),0
96,商船,傾覆 (件),0
96,漁船,洩漏 (件),0
96,商船,洩漏 (件),0
96,漁船,爆炸 (件),0
96,商船,爆炸 (件),0
96,漁船,失火 (件),0
96,商船,失火 (件),0
96,漁船,觸礁或擱淺 (件),0
96,商船,觸礁或擱淺 (件),0
96,漁船,與其他物碰撞 (件),0
96,商船,與其他物碰撞 (件),0
96,漁船,兩船碰撞 (件),0
96,商船,兩船碰撞 (件),0
95,漁船,船沉(艘),0
95,商船,船沉(艘),0
95,漁船,船損(艘),0
95,商船,船損(艘),0
95,漁船,死亡(人),0
95,商船,死亡(人),0
95,漁船,失蹤(人),0
95,商船,失蹤(人),0
95,漁船,受傷(人),0
95,商船,受傷(人),0
95,漁船,其他 (件),0
95,商船,其他 (件),0
95,漁船,非常變故 (件),0
95,商船,非常變故 (件),0
95,漁船,機器故障 (件),0
95,商船,機器故障 (件),0
95,漁船,傾覆 (件),0
95,商船,傾覆 (件),0
95,漁船,洩漏 (件),0
95,商船,洩漏 (件),0
95,漁船,爆炸 (件),0
95,商船,爆炸 (件),0
95,漁船,失火 (件),0
95,商船,失火 (件),0
95,漁船,觸礁或擱淺 (件),0
95,商船,觸礁或擱淺 (件),0
95,漁船,與其他物碰撞 (件),0
95,商船,與其他物碰撞 (件),0
95,漁船,兩船碰撞 (件),0
95,商船,兩船碰撞 (件),0
94,漁船,船沉(艘),0
94,商船,船沉(艘),0
94,漁船,船損(艘),0
94,商船,船損(艘),0
94,漁船,死亡(人),0
94,商船,死亡(人),0
94,漁船,失蹤(人),0
94,商船,失蹤(人),0
94,漁船,受傷(人),0
94,商船,受傷(人),0
94,漁船,其他 (件),0
94,商船,其他 (件),0
94,漁船,非常變故 (件),0
94,商船,非常變故 (件),0
94,漁船,機器故障 (件),0
94,商船,機器故障 (件),0
94,漁船,傾覆 (件),0
94,商船,傾覆 (件),0
94,漁船,洩漏 (件),0
94,商船,洩漏 (件),0
94,漁船,爆炸 (件),0
94,商船,爆炸 (件),0
94,漁船,失火 (件),0
94,商船,失火 (件),0
94,漁船,觸礁或擱淺 (件),0
94,商船,觸礁或擱淺 (件),0
94,漁船,與其他物碰撞 (件),0
94,商船,與其他物碰撞 (件),0
94,漁船,兩船碰撞 (件),0
94,商船,兩船碰撞 (件),0
93,漁船,船沉(艘),0
93,商船,船沉(艘),0
93,漁船,船損(艘),0
93,商船,船損(艘),0
93,漁船,死亡(人),0
93,商船,死亡(人),0
93,漁船,失蹤(人),0
93,商船,失蹤(人),0
93,漁船,受傷(人),0
93,商船,受傷(人),0
93,漁船,其他 (件),0
93,商船,其他 (件),0
93,漁船,非常變故 (件),0
93,商船,非常變故 (件),0
93,漁船,機器故障 (件),0
93,商船,機器故障 (件),0
93,漁船,傾覆 (件),0
93,商船,傾覆 (件),0
93,漁船,洩漏 (件),0
93,商船,洩漏 (件),0
93,漁船,爆炸 (件),0
93,商船,爆炸 (件),0
93,漁船,失火 (件),0
93,商船,失火 (件),0
93,漁船,觸礁或擱淺 (件),0
93,商船,觸礁或擱淺 (件),0
93,漁船,與其他物碰撞 (件),0
93,商船,與其他物碰撞 (件),0
93,漁船,兩船碰撞 (件),0
93,商船,兩船碰撞 (件),0
92,漁船,船沉(艘),0
92,商船,船沉(艘),0
92,漁船,船損(艘),0
92,商船,船損(艘),0
92,漁船,死亡(人),0
92,商船,死亡(人),0
92,漁船,失蹤(人),0
92,商船,失蹤(人),0
92,漁船,受傷(人),0
92,商船,受傷(人),0
92,漁船,其他 (件),0
92,商船,其他 (件),0
92,漁船,非常變故 (件),0
92,商船,非常變故 (件),0
92,漁船,機器故障 (件),0
92,商船,機器故障 (件),0
92,漁船,傾覆 (件),0
92,商船,傾覆 (件),0
92,漁船,洩漏 (件),0
92,商船,洩漏 (件),0
92,漁船,爆炸 (件),0
92,商船,爆炸 (件),0
92,漁船,失火 (件),0
92,商船,失火 (件),0
92,漁船,觸礁或擱淺 (件),0
92,商船,觸礁或擱淺 (件),0
92,漁船,與其他物碰撞 (件),0
92,商船,與其他物碰撞 (件),0
92,漁船,兩船碰撞 (件),0
92,商船,兩船碰撞 (件),0
91,漁船,船沉(艘),0
91,商船,船沉(艘),0
91,漁船,船損(艘),0
91,商船,船損(艘),0
91,漁船,死亡(人),0
91,商船,死亡(人),0
91,漁船,失蹤(人),0
91,商船,失蹤(人),0
91,漁船,受傷(人),0
91,商船,受傷(人),0
91,漁船,其他 (件),0
91,商船,其他 (件),0
91,漁船,非常變故 (件),0
91,商船,非常變故 (件),0
91,漁船,機器故障 (件),0
91,商船,機器故障 (件),0
91,漁船,傾覆 (件),0
91,商船,傾覆 (件),0
91,漁船,洩漏 (件),0
91,商船,洩漏 (件),0
91,漁船,爆炸 (件),0
91,商船,爆炸 (件),0
91,漁船,失火 (件),0
91,商船,失火 (件),0
91,漁船,觸礁或擱淺 (件),0
91,商船,觸礁或擱淺 (件),0
91,漁船,與其他物碰撞 (件),0
91,商船,與其他物碰撞 (件),0
91,漁船,兩船碰撞 (件),0
91,商船,兩船碰撞 (件),0
90,漁船,船沉(艘),0
90,商船,船沉(艘),0
90,漁船,船損(艘),0
90,商船,船損(艘),0
90,漁船,死亡(人),0
90,商船,死亡(人),0
90,漁船,失蹤(人),0
90,商船,失蹤(人),0
90,漁船,受傷(人),0
90,商船,受傷(人),0
90,漁船,其他 (件),0
90,商船,其他 (件),0
90,漁船,非常變故 (件),0
90,商船,非常變故 (件),0
90,漁船,機器故障 (件),0
90,商船,機器故障 (件),0
90,漁船,傾覆 (件),0
90,商船,傾覆 (件),0
90,漁船,洩漏 (件),0
90,商船,洩漏 (件),0
90,漁船,爆炸 (件),0
90,商船,爆炸 (件),0
90,漁船,失火 (件),0
90,商船,失火 (件),0
90,漁船,觸礁或擱淺 (件),0
90,商船,觸礁或擱淺 (件),0
90,漁船,與其他物碰撞 (件),0
90,商船,與其他物碰撞 (件),0
90,漁船,兩船碰撞 (件),0
90,商船,兩船碰撞 (件),0
