時間,來源港國家,來源港口,目的港國家,目的港口,轉運港口,貨櫃量,TEU數
2018/7/14 上午 12:00:00,印度尼西亞,泗水港,馬來西亞,亞庇(哥打京那巴魯),高雄港,11,13
2018/7/17 上午 12:00:00,泰國,南查邦,菲律賓,馬尼拉南港,高雄港,28,30
2018/7/18 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,27,35
2018/7/18 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉南港,高雄港,1,2
2018/7/18 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,6,12
2018/7/18 上午 12:00:00,澳大利亞,布里斯本,越南,胡志明,高雄港,1,2
2018/7/18 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉,高雄港,3,5
2018/7/18 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉南港,高雄港,1,2
2018/7/18 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉,高雄港,1,1
2018/7/18 上午 12:00:00,新加坡,新加坡港,菲律賓,卡加延－德奧羅,高雄港,8,16
2018/7/18 上午 12:00:00,新加坡,新加坡港,新加坡,新加坡港,高雄港,3,6
2018/7/18 上午 12:00:00,新加坡,新加坡港,越南,胡志明,高雄港,108,192
2018/7/18 上午 12:00:00,新加坡,新加坡港,越南,緬它,高雄港,64,64
2018/7/19 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉,高雄港,2,2
2018/7/19 上午 12:00:00,澳大利亞,布里斯本,菲律賓,馬尼拉北港,高雄港,2,2
2018/7/19 上午 12:00:00,澳大利亞,布里斯本,越南,海防,高雄港,6,6
2018/7/19 上午 12:00:00,澳大利亞,墨爾本,斯里蘭卡,可倫坡,高雄港,2,2
2018/7/19 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉,高雄港,1,1
2018/7/19 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉北港,高雄港,3,3
2018/7/19 上午 12:00:00,澳大利亞,墨爾本,菲律賓,馬尼拉南港,高雄港,2,2
2018/7/19 上午 12:00:00,澳大利亞,墨爾本,越南,海防,高雄港,66,86
2018/7/19 上午 12:00:00,澳大利亞,雪梨,斯里蘭卡,可倫坡,高雄港,4,4
2018/7/19 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉,高雄港,1,1
2018/7/19 上午 12:00:00,澳大利亞,雪梨,菲律賓,馬尼拉北港,高雄港,1,1
2018/7/19 上午 12:00:00,澳大利亞,雪梨,越南,海防,高雄港,18,32
2018/7/19 上午 12:00:00,印度尼西亞,泗水港,澳大利亞,墨爾本,高雄港,6,12
2018/7/19 上午 12:00:00,印度尼西亞,泗水港,澳大利亞,雪梨,高雄港,4,8
2018/7/19 上午 12:00:00,印度尼西亞,泗水港,馬來西亞,巴生港,高雄港,6,12
2018/7/20 上午 12:00:00,印度尼西亞,雅加達,汶萊,麻拉 (穆阿拉),高雄港,17,20
2018/7/20 上午 12:00:00,印度尼西亞,雅加達,馬來西亞,亞庇(哥打京那巴魯),高雄港,3,6
