時間,來源港國家,來源港口,目的港國家,目的港口,轉運港口,貨櫃量,TEU數
2015/12/1 上午 12:00:00,紐西蘭,陶蘭加,越南,海防,基隆港,1,1
2016/1/5 上午 12:00:00,紐西蘭,奧克蘭,印度,KRISHNAPATNAM,基隆港,6,12
2016/1/5 上午 12:00:00,紐西蘭,奧克蘭,印度,那瓦夏瓦,基隆港,8,10
2016/1/5 上午 12:00:00,紐西蘭,奧克蘭,印度,Pipavav (Victor) Port,基隆港,4,4
2016/1/5 上午 12:00:00,紐西蘭,利特耳頓,印度,那瓦夏瓦,基隆港,60,72
2016/1/5 上午 12:00:00,紐西蘭,陶蘭加,印度,Pipavav (Victor) Port,基隆港,4,8
2016/1/26 上午 12:00:00,紐西蘭,奧克蘭,馬來西亞,巴生港,基隆港,62,62
2016/1/20 上午 12:00:00,紐西蘭,奧克蘭,印度,KRISHNAPATNAM,基隆港,4,4
2016/1/20 上午 12:00:00,紐西蘭,奧克蘭,印度,那瓦夏瓦,基隆港,3,3
2016/1/20 上午 12:00:00,紐西蘭,利特耳頓,菲律賓,馬尼拉北港,基隆港,1,1
2016/1/20 上午 12:00:00,紐西蘭,查爾麥茲港,菲律賓,馬尼拉北港,基隆港,3,6
2016/1/20 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,3,6
2016/1/20 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉北港,基隆港,1,1
2016/1/20 上午 12:00:00,紐西蘭,陶蘭加,泰國,南查邦,基隆港,1,1
2016/1/20 上午 12:00:00,紐西蘭,陶蘭加,越南,海防,基隆港,4,7
2016/1/13 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,2,3
2016/2/9 上午 12:00:00,紐西蘭,查爾麥茲港,越南,胡志明,基隆港,2,4
2016/2/15 上午 12:00:00,紐西蘭,奧克蘭,印度,那瓦夏瓦,基隆港,2,4
2016/2/15 上午 12:00:00,紐西蘭,奧克蘭,印度,Pipavav (Victor) Port,基隆港,6,12
2016/2/15 上午 12:00:00,紐西蘭,利特耳頓,印度,那瓦夏瓦,基隆港,32,32
2016/2/15 上午 12:00:00,紐西蘭,陶蘭加,印度,蒙得拉,基隆港,1,1
2016/2/15 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,2,4
2016/2/23 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,4,4
2016/2/23 上午 12:00:00,紐西蘭,陶蘭加,巴基斯坦,Karachi-Muhammad Bin Qasim,基隆港,4,8
2016/3/1 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,4,4
2016/3/1 上午 12:00:00,紐西蘭,陶蘭加,紐西蘭,奧克蘭,基隆港,1,2
2016/2/21 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,1
2016/2/23 上午 12:00:00,紐西蘭,利特耳頓,印度,那瓦夏瓦,基隆港,24,38
2016/3/8 上午 12:00:00,紐西蘭,陶蘭加,印度尼西亞,北乾巴魯,基隆港,1,2
2016/3/8 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,10,10
2016/3/8 上午 12:00:00,紐西蘭,陶蘭加,馬來西亞,巴生港,基隆港,1,2
2016/3/6 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,1
2016/3/17 上午 12:00:00,紐西蘭,利特耳頓,印度,Pipavav (Victor) Port,基隆港,2,4
2016/3/17 上午 12:00:00,紐西蘭,納皮爾,巴基斯坦,喀拉蚩,基隆港,48,48
2016/3/17 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,2,2
2016/3/18 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,4,6
2016/3/18 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,1,1
2016/3/22 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,16,24
2016/3/22 上午 12:00:00,紐西蘭,陶蘭加,印度,Pipavav (Victor) Port,基隆港,3,6
2016/4/3 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,2,3
2016/4/7 上午 12:00:00,紐西蘭,奧克蘭,印度,那瓦夏瓦,基隆港,14,26
2016/4/7 上午 12:00:00,紐西蘭,奧克蘭,印度,Pipavav (Victor) Port,基隆港,8,16
2016/4/7 上午 12:00:00,紐西蘭,利特耳頓,印度,那瓦夏瓦,基隆港,2,2
2016/4/7 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,4,6
2016/4/13 上午 12:00:00,紐西蘭,奧克蘭,越南,胡志明,基隆港,2,4
2016/4/13 上午 12:00:00,紐西蘭,利特耳頓,印度,那瓦夏瓦,基隆港,2,2
2016/4/13 上午 12:00:00,紐西蘭,納皮爾,巴基斯坦,喀拉蚩,基隆港,60,60
2016/4/8 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,3,6
2016/4/14 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,3
2016/4/19 上午 12:00:00,紐西蘭,奧克蘭,紐西蘭,奧克蘭,基隆港,4,4
2016/4/19 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,20,20
2016/4/26 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,3,4
2016/5/3 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,2,2
2016/4/20 上午 12:00:00,馬來西亞,丹絨柏樂巴斯,越南,峴港,基隆港,2,4
2016/5/5 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,1,2
2016/5/10 上午 12:00:00,紐西蘭,陶蘭加,印度,蒙得拉,基隆港,4,4
2016/5/10 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,14,15
2016/5/18 上午 12:00:00,紐西蘭,奧克蘭,印度,曼加羅,基隆港,2,2
2016/5/18 上午 12:00:00,紐西蘭,奧克蘭,印度,KRISHNAPATNAM,基隆港,10,20
2016/5/18 上午 12:00:00,紐西蘭,奧克蘭,印度,蒙得拉,基隆港,2,2
2016/5/18 上午 12:00:00,紐西蘭,利特耳頓,印度,那瓦夏瓦,基隆港,4,4
2016/5/18 上午 12:00:00,紐西蘭,利特耳頓,巴基斯坦,Karachi-Muhammad Bin Qasim,基隆港,2,4
2016/5/18 上午 12:00:00,紐西蘭,納皮爾,巴基斯坦,喀拉蚩,基隆港,22,22
2016/5/18 上午 12:00:00,紐西蘭,查爾麥茲港,巴基斯坦,Karachi-Muhammad Bin Qasim,基隆港,2,4
2016/4/21 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,3
2016/5/13 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,3
2016/5/19 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,4,6
2016/5/24 上午 12:00:00,紐西蘭,奧克蘭,印度,齋浦爾,基隆港,1,2
2016/5/24 上午 12:00:00,紐西蘭,奧克蘭,印度,KRISHNAPATNAM,基隆港,5,10
2016/5/24 上午 12:00:00,紐西蘭,奧克蘭,印度,那瓦夏瓦,基隆港,3,3
2016/5/24 上午 12:00:00,紐西蘭,利特耳頓,印度,那瓦夏瓦,基隆港,1,1
2016/5/31 上午 12:00:00,紐西蘭,奧克蘭,印度,蒙得拉,基隆港,4,4
2016/5/31 上午 12:00:00,紐西蘭,奧克蘭,印度,Pipavav (Victor) Port,基隆港,6,12
2016/5/31 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,8,8
2016/6/8 上午 12:00:00,新加坡,新加坡港,馬來西亞,巴生港,基隆港,2,2
2016/6/7 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,2,3
2016/6/9 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,3
2016/6/15 上午 12:00:00,紐西蘭,奧克蘭,印度,蒙得拉,基隆港,1,1
2016/6/15 上午 12:00:00,紐西蘭,利特耳頓,印度,那瓦夏瓦,基隆港,1,1
2016/6/15 上午 12:00:00,紐西蘭,陶蘭加,印度,蒙得拉,基隆港,1,1
2016/6/15 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,5,5
2016/6/16 上午 12:00:00,孟加拉,吉大港,馬來西亞,丹絨柏樂巴斯,基隆港,1,2
2016/6/21 上午 12:00:00,紐西蘭,奧克蘭,印度,KRISHNAPATNAM,基隆港,12,24
2016/6/21 上午 12:00:00,紐西蘭,奧克蘭,印度,蒙得拉,基隆港,2,2
2016/6/21 上午 12:00:00,紐西蘭,奧克蘭,印度,那瓦夏瓦,基隆港,2,2
2016/6/21 上午 12:00:00,紐西蘭,利特耳頓,印度,那瓦夏瓦,基隆港,2,2
2016/6/21 上午 12:00:00,紐西蘭,利特耳頓,巴基斯坦,Karachi-Muhammad Bin Qasim,基隆港,8,8
2016/6/21 上午 12:00:00,紐西蘭,查爾麥茲港,泰國,南查邦,基隆港,4,8
2016/6/21 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,4,4
2016/6/21 上午 12:00:00,紐西蘭,陶蘭加,馬來西亞,巴生港,基隆港,2,4
2016/6/21 上午 12:00:00,紐西蘭,陶蘭加,紐西蘭,查爾麥茲港,基隆港,114,118
2016/6/23 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,3
2016/6/28 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,7,7
2016/6/21 上午 12:00:00,越南,卡萊港,菲律賓,馬尼拉,基隆港,9,9
2016/6/30 上午 12:00:00,菲律賓,馬尼拉,菲律賓,馬尼拉,基隆港,1,1
2016/7/5 上午 12:00:00,紐西蘭,奧克蘭,印度,蒙得拉,基隆港,4,4
2016/7/5 上午 12:00:00,紐西蘭,奧克蘭,越南,胡志明,基隆港,2,4
2016/7/5 上午 12:00:00,紐西蘭,利特耳頓,印度,那瓦夏瓦,基隆港,4,4
2016/7/5 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,8,10
2016/7/10 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,1,2
2016/7/12 上午 12:00:00,紐西蘭,利特耳頓,印度,那瓦夏瓦,基隆港,1,1
2016/7/12 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,3,4
2016/7/12 上午 12:00:00,紐西蘭,陶蘭加,巴基斯坦,Karachi-Muhammad Bin Qasim,基隆港,1,2
2016/7/19 上午 12:00:00,紐西蘭,利特耳頓,印度,那瓦夏瓦,基隆港,2,2
2016/7/19 上午 12:00:00,紐西蘭,陶蘭加,印度,那瓦夏瓦,基隆港,8,16
2016/7/19 上午 12:00:00,紐西蘭,陶蘭加,菲律賓,馬尼拉,基隆港,20,32
2016/7/24 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,2
2016/7/20 上午 12:00:00,新加坡,新加坡港,新加坡,新加坡港,基隆港,2,2
2016/7/10 上午 12:00:00,新加坡,新加坡港,馬來西亞,巴生港,基隆港,3,6
2016/8/2 上午 12:00:00,紐西蘭,納皮爾,馬來西亞,巴西古丹(巴錫爾古當),基隆港,3,6
2016/7/14 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,3,3
2016/8/1 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,1,1
2016/8/5 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,1,1
2016/8/16 上午 12:00:00,紐西蘭,陶蘭加,澳大利亞,布里斯本,基隆港,2,4
2016/8/30 上午 12:00:00,越南,胡志明,菲律賓,馬尼拉,基隆港,1,1
2016/8/31 上午 12:00:00,紐西蘭,納皮爾,馬來西亞,巴西古丹(巴錫爾古當),基隆港,3,6
2016/9/6 上午 12:00:00,紐西蘭,查爾麥茲港,泰國,南查邦,基隆港,4,8
2016/8/5 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,1,1
2016/9/8 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,3
2016/9/18 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,3
2016/9/30 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,4
2016/10/4 上午 12:00:00,新加坡,新加坡港,新加坡,新加坡港,基隆港,6,6
2016/10/9 上午 12:00:00,馬來西亞,丹絨柏樂巴斯,印度尼西亞,三寶隴港,基隆港,1,1
2016/10/9 上午 12:00:00,馬來西亞,丹絨柏樂巴斯,馬來西亞,丹絨柏樂巴斯,基隆港,1,1
2016/10/15 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,1,1
2016/10/19 上午 12:00:00,孟加拉,吉大港,新加坡,新加坡港,基隆港,1,1
2016/10/19 上午 12:00:00,新加坡,新加坡港,馬來西亞,巴生港,基隆港,2,3
2016/10/23 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,4
2016/10/23 上午 12:00:00,新加坡,新加坡港,新加坡,新加坡港,基隆港,3,6
2016/12/23 上午 12:00:00,孟加拉,吉大港,新加坡,新加坡港,基隆港,2,2
2016/11/11 上午 12:00:00,孟加拉,吉大港,馬來西亞,丹絨柏樂巴斯,基隆港,1,1
2017/1/7 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,1,1
2017/1/11 上午 12:00:00,馬來西亞,丹絨柏樂巴斯,印度,馬德拉斯,基隆港,6,12
2017/1/16 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,1,1
2017/1/27 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,1,2
2017/1/22 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,3
2017/2/14 上午 12:00:00,紐西蘭,奧克蘭,馬來西亞,巴生港,基隆港,7,13
2017/2/21 上午 12:00:00,紐西蘭,奧克蘭,馬來西亞,巴生港,基隆港,80,80
2017/2/21 上午 12:00:00,紐西蘭,查爾麥茲港,馬來西亞,巴生港,基隆港,2,4
2017/2/21 上午 12:00:00,紐西蘭,查爾麥茲港,越南,胡志明,基隆港,4,8
2017/2/17 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,4
2017/2/17 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,2,3
2017/2/23 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,5,10
2017/2/25 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,1,1
2017/3/3 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,1,1
2017/3/7 上午 12:00:00,紐西蘭,奧克蘭,馬來西亞,巴生港,基隆港,40,40
2017/3/7 上午 12:00:00,紐西蘭,查爾麥茲港,馬來西亞,巴生港,基隆港,1,2
2017/3/7 上午 12:00:00,紐西蘭,查爾麥茲港,越南,胡志明,基隆港,2,4
2017/3/8 上午 12:00:00,泰國,曼谷,泰國,曼谷,基隆港,1,2
2017/3/10 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,2
2017/3/15 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,4,8
2017/3/16 上午 12:00:00,紐西蘭,納皮爾,菲律賓,馬尼拉北港,基隆港,6,12
2017/3/17 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,2
2017/3/24 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,8,15
2017/3/21 上午 12:00:00,紐西蘭,奧克蘭,馬來西亞,巴生港,基隆港,2,4
2017/4/5 上午 12:00:00,馬來西亞,丹絨柏樂巴斯,孟加拉,吉大港,基隆港,1,2
2017/4/5 上午 12:00:00,紐西蘭,奧克蘭,紐西蘭,陶蘭加,基隆港,1,2
2017/4/5 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,2,3
2017/3/31 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,1,1
2017/3/31 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,2,2
2017/3/30 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,12,18
2017/4/14 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,1,2
2017/4/14 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,1,2
2017/4/18 上午 12:00:00,紐西蘭,陶蘭加,紐西蘭,奧克蘭,基隆港,2,2
2017/4/20 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,18,36
2017/4/20 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,7,12
2017/4/27 上午 12:00:00,孟加拉,吉大港,新加坡,新加坡港,基隆港,1,1
2017/4/27 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,2,4
2017/5/4 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,2,3
2017/5/4 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,5,9
2017/4/28 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,7,13
2017/5/9 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,2,4
2017/5/11 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,60,67
2017/5/15 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,1
2017/5/13 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,8,15
2017/5/18 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,4,6
2017/5/19 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,6,12
2017/5/25 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,11,21
2017/5/26 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,8,15
2017/5/31 上午 12:00:00,紐西蘭,納皮爾,泰國,南查邦,基隆港,4,8
2017/6/1 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,4,8
2017/6/1 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,3,4
2017/6/6 上午 12:00:00,新加坡,新加坡港,新加坡,新加坡港,基隆港,2,4
2017/6/8 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,9,18
2017/6/10 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,5,9
2017/6/15 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,6,11
2017/6/16 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,1,2
2017/6/16 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,1,2
2017/6/22 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,2,4
2017/6/27 上午 12:00:00,紐西蘭,奧克蘭,菲律賓,馬尼拉北港,基隆港,2,2
2017/6/27 上午 12:00:00,紐西蘭,納皮爾,紐西蘭,納皮爾,基隆港,2,4
2017/6/20 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,3,5
2017/7/1 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,4,6
2017/7/6 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,3
2017/7/6 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,1,1
2017/7/7 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,3,6
2017/7/7 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,1
2017/7/11 上午 12:00:00,越南,卡萊港,印度,Pipavav (Victor) Port,基隆港,1,1
2017/7/13 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,5,10
2017/7/19 上午 12:00:00,新加坡,新加坡港,新加坡,新加坡港,基隆港,1,2
2017/7/17 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,2
2017/7/22 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,3
2017/7/23 上午 12:00:00,泰國,曼谷,馬來西亞,巴生港,基隆港,1,2
2017/7/25 上午 12:00:00,越南,胡志明,馬來西亞,亞庇(哥打京那巴魯),基隆港,13,26
2017/7/23 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,2
2017/7/28 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,10,18
2017/8/1 上午 12:00:00,越南,卡萊港,印度尼西亞,雅加達,基隆港,1,1
2017/8/1 上午 12:00:00,越南,卡萊港,菲律賓,馬尼拉北港,基隆港,3,5
2017/8/1 上午 12:00:00,馬來西亞,丹絨柏樂巴斯,印度尼西亞,雅加達,基隆港,2,2
2017/8/1 上午 12:00:00,馬來西亞,丹絨柏樂巴斯,馬來西亞,丹絨柏樂巴斯,基隆港,12,20
2017/8/1 上午 12:00:00,馬來西亞,丹絨柏樂巴斯,越南,海防,基隆港,1,1
2017/8/3 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,3
2017/8/5 上午 12:00:00,馬來西亞,丹絨柏樂巴斯,馬來西亞,丹絨柏樂巴斯,基隆港,5,5
2017/8/10 上午 12:00:00,馬來西亞,丹絨柏樂巴斯,馬來西亞,丹絨柏樂巴斯,基隆港,2,4
2017/8/10 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,5,10
2017/8/14 上午 12:00:00,泰國,曼谷,澳大利亞,肯布拉港,基隆港,1,1
2017/8/14 上午 12:00:00,泰國,曼谷,馬來西亞,巴生港,基隆港,1,2
2017/8/14 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,2,4
2017/8/12 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,3,5
2017/8/17 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,10,18
2017/8/17 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,1,2
2017/8/17 上午 12:00:00,馬來西亞,丹絨柏樂巴斯,印度尼西亞,Perawang,基隆港,6,6
2017/8/17 上午 12:00:00,新加坡,新加坡港,菲律賓,宿移,基隆港,1,1
2017/8/20 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,2
2017/8/26 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,4,7
2017/8/26 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,1,1
2017/8/27 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,2
2017/9/8 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,5,9
2017/9/8 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,1,1
2017/9/12 上午 12:00:00,越南,卡萊港,菲律賓,馬尼拉,基隆港,1,2
2017/9/12 上午 12:00:00,越南,卡萊港,菲律賓,馬尼拉北港,基隆港,6,12
2017/9/4 上午 12:00:00,泰國,曼谷,馬來西亞,巴生港,基隆港,1,2
2017/9/15 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,5,7
2017/9/18 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,2,4
2017/9/21 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,3,5
2017/9/26 上午 12:00:00,泰國,曼谷,馬來西亞,巴生港,基隆港,3,6
2017/9/26 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,2
2017/9/26 上午 12:00:00,越南,胡志明,馬來西亞,亞庇(哥打京那巴魯),基隆港,18,36
2017/9/28 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,6,11
2017/9/28 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,1,1
2017/10/4 上午 12:00:00,泰國,曼谷,馬來西亞,巴生港,基隆港,1,2
2017/10/4 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,4,8
2017/10/6 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,1,1
2017/10/10 上午 12:00:00,紐西蘭,查爾麥茲港,紐西蘭,查爾麥茲港,基隆港,1,2
2017/10/9 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,2,3
2017/10/16 上午 12:00:00,泰國,曼谷,馬來西亞,巴生港,基隆港,2,4
2017/10/16 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,1
2017/10/18 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,7,12
2017/10/18 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,100,200
2017/10/23 上午 12:00:00,泰國,曼谷,馬來西亞,巴生港,基隆港,1,2
2017/10/23 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,3,6
2017/10/23 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,4,6
2017/10/23 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,10,10
2017/10/26 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,5,9
2017/10/26 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,3,5
2017/10/27 上午 12:00:00,孟加拉,吉大港,馬來西亞,丹絨柏樂巴斯,基隆港,1,2
2017/10/24 上午 12:00:00,越南,卡萊港,馬來西亞,亞庇(哥打京那巴魯),基隆港,6,12
2017/10/24 上午 12:00:00,越南,卡萊港,馬來西亞,詩巫,基隆港,1,2
2017/11/3 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,6,9
2017/11/3 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,1,2
2017/11/14 上午 12:00:00,越南,卡萊港,馬來西亞,亞庇(哥打京那巴魯),基隆港,4,4
2017/10/31 上午 12:00:00,紐西蘭,奧克蘭,新加坡,新加坡港,基隆港,23,23
2017/11/6 上午 12:00:00,泰國,曼谷,馬來西亞,巴生港,基隆港,2,4
2017/11/6 上午 12:00:00,泰國,曼谷,泰國,曼谷,基隆港,1,2
2017/11/17 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,3,4
2017/11/17 上午 12:00:00,越南,海防,泰國,宋卡,基隆港,1,1
2017/11/23 上午 12:00:00,泰國,曼谷,馬來西亞,巴生港,基隆港,1,2
2017/11/23 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,5,10
2017/11/6 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,2
2017/11/25 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,3,5
2017/12/2 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,7,13
2017/12/12 上午 12:00:00,紐西蘭,奧克蘭,印度,那瓦夏瓦,基隆港,2,2
2017/12/12 上午 12:00:00,紐西蘭,奧克蘭,印度,達拉布林,基隆港,2,2
2017/12/12 上午 12:00:00,紐西蘭,陶蘭加,紐西蘭,奧克蘭,基隆港,2,4
2017/12/8 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,4
2017/12/16 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,2
2017/12/16 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,5,8
2017/12/16 上午 12:00:00,越南,海防,柬埔寨,金邊,基隆港,2,3
2017/12/21 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,2
2017/12/24 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,7,13
2017/12/26 上午 12:00:00,泰國,曼谷,馬來西亞,巴生港,基隆港,1,2
2017/12/31 上午 12:00:00,越南,海防,柬埔寨,西哈努克市,基隆港,2,3
2018/1/8 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,4,5
2018/1/8 上午 12:00:00,泰國,曼谷,越南,卡萊港,基隆港,1,1
2018/1/14 上午 12:00:00,泰國,曼谷,新加坡,新加坡港,基隆港,1,2
2018/1/20 上午 12:00:00,越南,卡萊港,菲律賓,馬尼拉,基隆港,1,2
