時間,進港/出港,港口國,港口,臺灣港口,貨櫃/非貨櫃,船舶種類,船舶國籍,總噸數,艘次
2015/2/20 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,新加坡,29060,1
2015/1/26 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,新加坡,15995,1
2015/9/15 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,18252,1
2015/10/19 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,15995,1
2015/10/21 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,18252,1
2015/11/21 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,21932,1
2015/8/6 上午 12:00:00,出港,菲律賓,宿移,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,11716,1
2015/8/10 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,15995,1
2015/8/10 上午 12:00:00,進港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,14308,1
2015/9/16 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,18252,1
2015/9/17 上午 12:00:00,出港,菲律賓,宿移,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,11716,1
2015/10/28 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,18252,1
2015/10/28 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,18252,1
2015/12/21 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,15995,1
2015/3/7 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,新加坡,25305,1
2015/3/8 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,新加坡,29060,1
2015/3/8 上午 12:00:00,出港,菲律賓,宿移,高雄港,貨櫃船,全貨櫃船,新加坡,9978,1
2015/3/22 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,新加坡,15995,1
2015/3/5 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,新加坡,17613,1
2017/7/17 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,42411,1
2016/12/9 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,57920,1
2017/8/14 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,39307,1
2017/9/8 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,84216,1
2016/12/14 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,27725,1
2016/12/30 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,62619,1
2017/4/27 上午 12:00:00,出港,新加坡,新加坡港,台中港,非貨櫃船,油輪,賴比瑞亞,42826,1
2016/12/2 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,59164,1
2016/12/26 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,62619,1
2017/2/22 上午 12:00:00,進港,新加坡,新加坡港,台北港,非貨櫃船,油輪,賴比瑞亞,162863,1
2017/2/28 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,43904,1
2017/2/13 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,56204,1
2017/3/17 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,60178,1
2017/2/8 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,56204,1
2017/2/7 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,62782,1
2017/1/19 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,57326,1
2017/5/10 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,29588,1
2018/3/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,非貨櫃船,油品船,巴拿馬,13517,1
2017/8/12 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,非貨櫃船,油品船,香港,6861,1
2017/2/17 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,非貨櫃船,油品船,香港,6861,1
2017/12/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,非貨櫃船,油品船,香港,6861,1
2015/2/12 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,51905,1
2015/1/24 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,51208,1
2015/2/7 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,51905,1
2015/1/5 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,非貨櫃船,散裝船,香港,20846,1
2015/11/21 上午 12:00:00,出港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,新加坡,43687,1
2017/5/9 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,43687,1
2017/4/7 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台北港,非貨櫃船,散裝船,新加坡,46935,1
2017/5/5 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,43687,1
2017/5/25 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,43687,1
2017/4/18 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,46935,1
2015/4/3 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,51265,1
2015/4/24 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,51130,1
2015/1/9 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,43642,1
2017/3/5 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,42338,1
2017/2/24 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,賴比瑞亞,157039,1
2018/8/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,聖克里斯多福,2734,1
2018/7/1 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,聖克里斯多福,2734,1
2018/2/1 上午 12:00:00,出港,新加坡,新加坡港,基隆港,非貨櫃船,油輪,聖克里斯多福,2734,1
2017/10/26 上午 12:00:00,進港,新加坡,新加坡港,基隆港,非貨櫃船,油輪,聖克里斯多福,2734,1
2015/4/9 上午 12:00:00,出港,新加坡,新加坡港,台北港,非貨櫃船,油輪,巴拿馬,3378,1
2015/4/3 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,28049,1
2015/3/8 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,30027,1
2015/4/28 上午 12:00:00,進港,新加坡,新加坡港,台北港,非貨櫃船,油輪,巴拿馬,159730,1
2015/7/15 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,149371,1
2015/5/13 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,17413,1
2015/5/6 上午 12:00:00,出港,新加坡,新加坡港,基隆港,非貨櫃船,油輪,巴拿馬,28828,1
2015/7/30 上午 12:00:00,出港,新加坡,新加坡港,台北港,非貨櫃船,油輪,巴拿馬,152145,1
2015/6/8 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,29460,1
2015/8/14 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,152041,1
2015/8/23 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,30027,1
2015/9/5 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,56285,1
2015/5/1 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,43642,1
2015/2/17 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,50725,1
2015/2/19 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,52735,1
2017/3/9 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,51905,1
2017/11/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,香港,40030,1
2017/8/17 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,香港,41678,1
2019/2/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,51872,1
2017/8/3 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,香港,40168,1
2017/12/1 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,香港,40168,1
2017/12/1 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,香港,39941,1
2017/12/1 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,香港,40168,1
2017/12/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,香港,40030,1
2018/12/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,51872,1
2019/5/1 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,新加坡,41678,1
2019/5/1 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,新加坡,44887,1
2017/10/6 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,香港,41678,1
2019/1/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,51872,1
2016/8/4 上午 12:00:00,進港,菲律賓,宿移,高雄港,貨櫃船,全貨櫃船,香港,18123,1
2015/8/15 上午 12:00:00,出港,菲律賓,宿移,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,31107,1
2020/8/1 上午 12:00:00,出港,菲律賓,蘇比克灣,台中港,非貨櫃船,散裝船,馬紹爾群島共和國,34751,1
2020/8/1 上午 12:00:00,進港,菲律賓,宿移,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,20846,1
2016/5/11 上午 12:00:00,出港,菲律賓,馬尼拉,台中港,非貨櫃船,散裝船,馬紹爾群島共和國,33988,1
2019/2/1 上午 12:00:00,進港,菲律賓,宿移,高雄港,非貨櫃船,散裝船,中華民國,16962,1
2019/2/1 上午 12:00:00,出港,菲律賓,宿移,台中港,非貨櫃船,散裝船,中華民國,16962,1
2018/11/1 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,非貨櫃船,散裝船,香港,34590,1
2018/11/1 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,非貨櫃船,散裝船,香港,7019,1
2018/11/1 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,非貨櫃船,散裝船,香港,7019,1
2020/9/1 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,44096,1
2020/9/1 上午 12:00:00,進港,菲律賓,馬尼拉,台中港,非貨櫃船,散裝船,馬紹爾群島共和國,35832,1
2020/12/1 上午 12:00:00,出港,菲律賓,宿移,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,19831,1
2021/2/1 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,35035,1
2019/11/1 上午 12:00:00,進港,菲律賓,宿移,高雄港,非貨櫃船,散裝船,中華民國,21508,1
2019/9/1 上午 12:00:00,出港,菲律賓,蘇比克灣,台中港,非貨櫃船,散裝船,中華民國,106368,1
2019/3/1 上午 12:00:00,出港,菲律賓,馬尼拉,台中港,非貨櫃船,散裝船,香港,8818,1
2018/10/1 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,非貨櫃船,散裝船,香港,7019,1
2017/9/8 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,香港,40168,1
2019/8/1 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,新加坡,41678,1
2019/8/1 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,新加坡,44887,1
2019/10/1 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,新加坡,89774,2
2019/8/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,新加坡,66462,1
2017/4/14 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,44348,1
2017/4/18 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,馬紹爾群島共和國,44348,1
2017/2/14 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,36415,1
2017/2/23 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,馬紹爾群島共和國,51255,1
2015/8/20 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,香港,43501,1
2015/7/22 上午 12:00:00,出港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,香港,51905,1
2015/7/11 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,51905,1
2015/8/14 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,51265,1
2016/10/14 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,44047,1
2017/1/16 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,馬紹爾群島共和國,45200,1
2016/9/24 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,馬紹爾群島共和國,36336,1
2015/7/6 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,中華民國,91051,1
2015/9/13 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,28797,1
2016/10/4 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,156501,1
2016/9/10 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,159397,1
2016/10/27 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,30027,1
2016/10/17 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,28777,1
2016/10/22 上午 12:00:00,出港,新加坡,新加坡港,台中港,非貨櫃船,油輪,巴拿馬,60504,1
2016/10/28 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,30027,1
2016/11/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,30027,1
2016/3/24 上午 12:00:00,出港,新加坡,新加坡港,台中港,非貨櫃船,油輪,巴拿馬,30027,1
2016/2/21 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,160079,1
2016/2/22 上午 12:00:00,出港,新加坡,新加坡港,台中港,非貨櫃船,油輪,巴拿馬,30027,1
2016/3/23 上午 12:00:00,出港,新加坡,新加坡港,台中港,非貨櫃船,油輪,巴拿馬,7283,1
2016/3/5 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,17413,1
2016/4/29 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,30971,1
2016/7/10 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,17413,1
2016/7/17 上午 12:00:00,進港,新加坡,新加坡港,台中港,非貨櫃船,油輪,巴拿馬,7283,1
2016/7/18 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,156914,1
2016/7/22 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,28725,1
2019/10/1 上午 12:00:00,進港,菲律賓,蘇比克灣,高雄港,非貨櫃船,散裝船,美國,12679,1
2018/2/1 上午 12:00:00,出港,菲律賓,宿移,高雄港,非貨櫃船,散裝船,中華民國,16962,1
2015/1/25 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,新加坡,25305,1
2015/1/25 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,新加坡,29060,1
2015/12/14 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,15995,1
2015/12/14 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,15995,1
2015/3/28 上午 12:00:00,出港,菲律賓,宿移,高雄港,貨櫃船,全貨櫃船,新加坡,16661,1
2015/4/11 上午 12:00:00,出港,菲律賓,宿移,高雄港,貨櫃船,全貨櫃船,新加坡,15995,1
2015/3/13 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,新加坡,17613,1
2015/1/4 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,新加坡,25305,1
2015/1/4 上午 12:00:00,進港,菲律賓,宿移,高雄港,貨櫃船,全貨櫃船,新加坡,9978,1
2015/1/11 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,新加坡,29060,1
2015/1/12 上午 12:00:00,進港,菲律賓,宿移,高雄港,貨櫃船,全貨櫃船,新加坡,9978,1
2015/2/8 上午 12:00:00,出港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,新加坡,17613,1
2015/2/8 上午 12:00:00,出港,菲律賓,蘇比克灣,高雄港,貨櫃船,全貨櫃船,新加坡,15995,1
2015/3/2 上午 12:00:00,出港,菲律賓,宿移,高雄港,貨櫃船,全貨櫃船,新加坡,9978,1
2015/3/3 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,新加坡,25305,1
2015/1/5 上午 12:00:00,出港,菲律賓,宿移,高雄港,貨櫃船,全貨櫃船,新加坡,9978,1
2015/12/23 上午 12:00:00,進港,菲律賓,馬尼拉,高雄港,貨櫃船,全貨櫃船,馬紹爾群島共和國,15995,1
2015/8/13 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,中華民國,46935,1
2015/6/7 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,中華民國,82112,1
2015/7/3 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,中華民國,91051,1
2015/8/26 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,中華民國,104380,1
2015/2/7 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,中華民國,42709,1
2015/3/6 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,中華民國,82112,1
2015/1/13 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,中華民國,82112,1
2015/2/26 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,中華民國,82112,1
2015/2/4 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,中華民國,42709,1
2015/3/7 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,中華民國,46935,1
2015/1/22 上午 12:00:00,出港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,中華民國,46935,1
2015/4/9 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,中華民國,82112,1
2015/4/18 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,中華民國,46935,1
2015/4/16 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,中華民國,46935,1
2015/3/10 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,中華民國,46935,1
2015/7/22 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,中華民國,82112,1
2015/3/22 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,中華民國,42709,1
2017/2/16 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,中華民國,91051,1
2017/3/4 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,中華民國,104352,1
2016/9/5 上午 12:00:00,出港,新加坡,新加坡港,基隆港,非貨櫃船,油輪,巴拿馬,28231,1
2016/6/29 上午 12:00:00,出港,新加坡,新加坡港,台中港,非貨櫃船,油輪,巴拿馬,7283,1
2016/7/20 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,28725,1
2021/5/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,62316,1
2021/5/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,62350,1
2020/7/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,7634,1
2020/6/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,59179,1
2020/4/1 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,27972,1
2020/7/1 上午 12:00:00,進港,新加坡,新加坡港,台中港,非貨櫃船,油輪,巴拿馬,29188,1
2020/7/1 上午 12:00:00,出港,新加坡,新加坡港,台北港,非貨櫃船,油輪,巴拿馬,28725,1
2020/11/1 上午 12:00:00,進港,新加坡,新加坡港,台中港,非貨櫃船,油輪,巴拿馬,29188,1
2021/2/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,25800,1
2020/11/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,159813,1
2021/3/1 上午 12:00:00,進港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,28932,1
2021/3/1 上午 12:00:00,進港,新加坡,新加坡港,台中港,非貨櫃船,油輪,巴拿馬,16360,1
2021/3/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,27972,1
2021/3/1 上午 12:00:00,出港,新加坡,新加坡港,高雄港,非貨櫃船,油輪,巴拿馬,28932,1
2021/5/1 上午 12:00:00,進港,新加坡,新加坡港,台中港,非貨櫃船,油輪,巴拿馬,28777,1
2015/2/21 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,中華民國,82112,1
2017/6/15 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,43687,1
2017/7/28 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,43687,1
2017/8/20 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,非貨櫃船,散裝船,新加坡,20924,1
2017/8/15 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,51238,1
2016/11/1 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,非貨櫃船,散裝船,新加坡,17019,1
2016/11/2 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,43687,1
2016/12/11 上午 12:00:00,出港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,新加坡,46935,1
2016/12/12 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,46935,1
2017/1/6 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,43687,1
2017/1/5 上午 12:00:00,出港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,新加坡,43687,1
2017/2/9 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,新加坡,43687,1
2015/9/11 上午 12:00:00,出港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,香港,51905,1
2015/5/4 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,51130,1
2015/6/17 上午 12:00:00,出港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,香港,87614,1
2015/6/13 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,香港,43642,1
2015/9/18 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,非貨櫃船,散裝船,香港,22314,1
2015/8/22 上午 12:00:00,出港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,香港,43501,1
2019/7/1 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,香港,52709,1
2019/7/1 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,香港,51265,1
2016/4/5 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,馬紹爾群島共和國,51265,1
2016/6/19 上午 12:00:00,進港,澳大利亞,紐塞(新堡),高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,52186,1
2016/3/5 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,34773,1
2016/8/29 上午 12:00:00,進港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,馬紹爾群島共和國,33988,1
2016/9/2 上午 12:00:00,出港,澳大利亞,紐塞(新堡),台中港,非貨櫃船,散裝船,馬紹爾群島共和國,33988,1
2016/3/19 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,44276,1
2016/4/12 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,42895,1
2016/2/5 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,非貨櫃船,散裝船,馬紹爾群島共和國,22457,1
