時間,進港/出港,港口國,港口,臺灣港口,貨櫃/非貨櫃,船舶種類,船舶國籍,總噸數,艘次
2017/7/6 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2017/5/25 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/6/15 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/8/3 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/7/21 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/8/24 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/9/14 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2017/9/8 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/8/10 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2017/11/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,199318,3
2017/10/12 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2017/10/19 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2017/12/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,199318,3
2017/10/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2018/1/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,132866,2
2018/3/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,199318,3
2018/2/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,132885,2
2018/5/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2016/6/9 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,巴哈馬,49855,1
2016/1/14 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,巴哈馬,49855,1
2015/8/21 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,巴哈馬,49855,1
2015/10/9 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,巴哈馬,49855,1
2015/7/5 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,巴哈馬,49855,1
2018/4/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,132885,2
2018/6/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,132866,2
2018/7/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,132866,2
2018/8/1 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,132885,2
2015/12/6 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2016/2/13 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2016/4/23 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66452,1
2016/3/14 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2016/5/6 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2016/1/30 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2015/12/19 上午 12:00:00,進港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,66433,1
2016/3/13 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,41482,1
2016/4/29 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,41482,1
2015/11/26 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,巴哈馬,49855,1
2016/1/21 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,中國大陸,41482,1
2015/2/5 上午 12:00:00,出港,澳大利亞,布里斯本,高雄港,貨櫃船,全貨櫃船,巴哈馬,49855,1
