時間,近/遠洋,進/出港,裝/卸貨,航線名稱,新南向區域,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船型,艘次
2015/10/2 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/10/8 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/9/18 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/8/28 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/9/10 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/9/25 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/9/3 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/2/9 上午 12:00:00,近洋航線,出港,卸貨,A300東南、北亞航線,東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/10 上午 12:00:00,近洋航線,出港,卸貨,A204東南亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/2/8 上午 12:00:00,近洋航線,出港,卸貨,A204東南亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/5 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/6 上午 12:00:00,近洋航線,出港,卸貨,A300東南、北亞航線,東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/2/16 上午 12:00:00,近洋航線,出港,卸貨,A204東南亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/2/15 上午 12:00:00,近洋航線,出港,卸貨,A300東南、北亞航線,東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/3/1 上午 12:00:00,近洋航線,出港,卸貨,A300東南、北亞航線,東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/2 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2021/5/18 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,3000TEU以下,1
2021/7/8 上午 12:00:00,近洋航線,進港,裝貨,E204紐西蘭航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,半貨櫃船,3000TEU以下,1
2021/7/9 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,3000TEU以下,1
2021/7/8 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,臺中港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/6/16 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,3000TEU以下,1
2021/6/19 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,臺中港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/4/10 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,臺中港,全貨櫃船,3000TEU以下,1
2021/3/28 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,臺中港,全貨櫃船,3000TEU以下,1
2015/7/18 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/8/16 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/7/30 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/8/6 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/6/19 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/30 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/11 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/15 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/3/12 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/17 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/8 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/2 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/6/14 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/6/5 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/29 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/21 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/6/26 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2021/3/27 上午 12:00:00,遠洋航線,進港,裝貨,D124北美西岸航線(含大陸),東協,菲律賓,蘇比克灣,臺北港,全貨櫃船,3000TEU以下,1
2021/4/26 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,臺中港,全貨櫃船,3000TEU以下,1
2020/12/26 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,臺中港,全貨櫃船,3000TEU以下,1
2021/4/20 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,臺中港,全貨櫃船,3000TEU以下,1
2021/5/26 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,3000TEU以下,1
2021/5/28 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,臺中港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/7/30 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,3000TEU以下,1
2021/6/9 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,3000TEU以下,1
2021/6/9 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,3000TEU以下,1
2021/5/12 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,臺中港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/7/28 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,臺中港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/7/28 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,3000TEU以下,1
2021/7/18 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,臺中港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/5/11 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,3000TEU以下,1
2021/5/8 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,3000TEU以下,1
2021/5/2 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,3000TEU以下,1
2021/7/5 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,3000TEU以下,1
2015/8/21 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/1 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/3/27 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/3/6 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/23 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/2/20 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/3/19 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/15 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/2/27 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/2/6 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/5 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/2/13 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/1 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/24 上午 12:00:00,遠洋航線,進港,裝貨,A834紅海航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2021/6/3 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,3000TEU以下,1
2021/5/31 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,3000TEU以下,1
2021/7/10 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,3000TEU以下,1
2021/6/17 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,3000TEU以下,1
2021/7/4 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,3000TEU以下,1
2021/5/26 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,3000TEU以下,1
2021/5/6 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,3000TEU以下,1
2021/5/13 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,3000TEU以下,1
2021/7/24 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,3000TEU以下,1
2021/7/26 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,馬來西亞,平多羅,高雄港,全貨櫃船,3000TEU以下,1
2021/6/26 上午 12:00:00,近洋航線,進港,裝貨,A104東北亞航線(含大陸),東協,馬來西亞,巴西古丹(巴錫爾古當),高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/7/20 上午 12:00:00,近洋航線,進港,裝貨,A814印度洋航線(含大陸),東協,馬來西亞,巴西古丹(巴錫爾古當),高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/3/29 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,馬來西亞,巴西古丹(巴錫爾古當),高雄港,全貨櫃船,3000TEU以下,1
2018/10/19 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,馬來西亞,巴西古丹(巴錫爾古當),高雄港,全貨櫃船,3000TEU以下,1
2019/4/4 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,馬來西亞,巴西古丹(巴錫爾古當),高雄港,全貨櫃船,3000TEU以下,1
2019/10/12 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,馬來西亞,巴西古丹(巴錫爾古當),高雄港,全貨櫃船,3000TEU以下,1
2020/5/7 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,馬來西亞,巴西古丹(巴錫爾古當),高雄港,全貨櫃船,3000TEU以下,1
2020/2/5 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,馬來西亞,巴西古丹(巴錫爾古當),高雄港,全貨櫃船,3000TEU以下,1
2020/1/29 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,馬來西亞,巴西古丹(巴錫爾古當),高雄港,全貨櫃船,3000TEU以下,1
2020/10/29 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,馬來西亞,巴西古丹(巴錫爾古當),高雄港,全貨櫃船,3000TEU以下,1
2021/2/16 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,馬來西亞,巴西古丹(巴錫爾古當),高雄港,全貨櫃船,3000TEU以下,1
2021/5/1 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,3000TEU以下,1
2015/11/23 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/11/21 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/12/26 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/12/19 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/12/19 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/12/2 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/12/12 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/12/12 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/12/5 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/11/7 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/10/20 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/10/24 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/10/26 上午 12:00:00,近洋航線,出港,卸貨,A300東南、北亞航線,東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/11/14 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/10/10 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/10/11 上午 12:00:00,近洋航線,出港,卸貨,A300東南、北亞航線,東協,菲律賓,蘇比克灣,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/12/9 上午 12:00:00,近洋航線,出港,卸貨,兩岸直航航線,紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/10/29 上午 12:00:00,近洋航線,出港,卸貨,兩岸直航航線,紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/11/25 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,6000TEU ~ 10000TEU,2
2016/1/20 上午 12:00:00,近洋航線,出港,卸貨,兩岸直航航線,紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2016/1/13 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2016/2/4 上午 12:00:00,遠洋航線,出港,卸貨,B410黑海航線(含大陸),紐澳,澳大利亞,墨爾本,高雄港,全貨櫃船,3000TEU以下,1
2019/3/28 上午 12:00:00,近洋航線,出港,卸貨,A814印度洋航線(含大陸),南亞,孟加拉,吉大港,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/5/9 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,汶萊,麻拉 (穆阿拉),高雄港,全貨櫃船,3000TEU以下,1
2019/12/20 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),東協,泰國,南查邦,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/12/6 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),東協,泰國,南查邦,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/9/1 上午 12:00:00,遠洋航線,進港,裝貨,B004歐洲航線(含大陸),東協,泰國,南查邦,高雄港,全貨櫃船,3000TEU以下,1
2019/8/21 上午 12:00:00,遠洋航線,出港,卸貨,B004歐洲航線(含大陸),東協,泰國,南查邦,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2019/7/31 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),東協,泰國,南查邦,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/4/4 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),東協,泰國,南查邦,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2019/5/11 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),東協,泰國,南查邦,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2018/6/16 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),東協,泰國,南查邦,高雄港,全貨櫃船,3000TEU以下,1
2018/3/21 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),東協,泰國,南查邦,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/4/11 上午 12:00:00,近洋航線,出港,卸貨,A304東南、北亞航線(含大陸),東協,馬來西亞,巴西古丹(巴錫爾古當),高雄港,全貨櫃船,3000TEU以下,1
2015/7/14 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,Batangas/Luzon,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/28 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,Batangas/Luzon,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/5 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,Batangas/Luzon,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/6/22 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,Batangas/Luzon,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/13 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,Batangas/Luzon,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/12 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,Batangas/Luzon,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/19 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,Batangas/Luzon,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/7/6 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,Batangas/Luzon,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/2/3 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,Batangas/Luzon,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/7 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,Batangas/Luzon,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/16 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,Batangas/Luzon,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/22 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,Batangas/Luzon,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/14 上午 12:00:00,近洋航線,進港,裝貨,A204東南亞航線(含大陸),東協,菲律賓,Batangas/Luzon,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/4/29 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,菲律賓,Batangas/Luzon,基隆港,全貨櫃船,6000TEU ~ 10000TEU,1
2021/2/3 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/2/3 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/2/3 上午 12:00:00,近洋航線,出港,卸貨,兩岸直航航線,紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2020/12/5 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/2/4 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2021/3/24 上午 12:00:00,近洋航線,進港,裝貨,A824中東/波斯灣航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2020/11/14 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2021/2/7 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2020/11/13 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/1/19 上午 12:00:00,近洋航線,出港,卸貨,E004紐澳航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2021/3/31 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2021/4/2 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2018/11/6 上午 12:00:00,近洋航線,進港,裝貨,A304東南、北亞航線(含大陸),東協,印度尼西亞,泗水港,高雄港,全貨櫃船,3000TEU以下,1
