時間,近/遠洋,進/出港,裝/卸貨,航線名稱,新南向區域,其他國家港口國,其他國家港口,臺灣港口,船舶種類,船型,艘次
2016/5/16 上午 12:00:00,近洋航線,出港,卸貨,E104澳洲航線(含大陸),紐澳,澳大利亞,雪梨,高雄港,全貨櫃船,3000TEU以下,1
2015/4/26 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/29 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/5/17 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2018/11/3 上午 12:00:00,近洋航線,進港,裝貨,E204紐西蘭航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,3000TEU以下,1
2015/6/28 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/6/8 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/7/12 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/10/6 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/9/4 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/7/23 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/10/29 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/12/24 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/2/9 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/1/14 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/2/23 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2015/3/28 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,湯斯維爾,高雄港,全貨櫃船,6000TEU ~ 10000TEU,1
2016/9/9 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/1/18 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2016/11/16 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2016/11/17 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2016/11/17 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2016/11/17 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
2017/1/4 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/1/5 上午 12:00:00,遠洋航線,出港,卸貨,D204美國航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/1/5 上午 12:00:00,近洋航線,進港,裝貨,E104澳洲航線(含大陸),紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU以下,1
2017/1/5 上午 12:00:00,近洋航線,進港,裝貨,兩岸直航航線,紐澳,澳大利亞,布里斯本,高雄港,全貨櫃船,3000TEU ~ 6000TEU,1
